length,input,target
2,0 0,0
2,0 1,1
2,0 2,2
2,0 3,3
2,0 4,4
2,0 5,5
2,0 6,6
2,0 7,7
2,0 8,8
2,0 9,9
2,0 10,10
2,0 11,11
2,0 12,12
2,0 13,13
2,0 14,14
2,0 15,15
2,0 16,16
2,0 17,17
2,0 18,18
2,0 19,19
2,0 20,20
2,0 21,21
2,0 22,22
2,0 23,23
2,0 24,24
2,0 25,25
2,0 26,26
2,0 27,27
2,0 28,28
2,0 29,29
2,0 30,30
2,0 31,31
2,0 32,32
2,0 33,33
2,0 34,34
2,0 35,35
2,0 36,36
2,0 37,37
2,0 38,38
2,0 39,39
2,0 40,40
2,0 41,41
2,0 42,42
2,0 43,43
2,0 44,44
2,0 45,45
2,0 46,46
2,0 47,47
2,0 48,48
2,0 49,49
2,0 50,50
2,0 51,51
2,0 52,52
2,0 53,53
2,0 54,54
2,0 55,55
2,0 56,56
2,0 57,57
2,0 58,58
2,0 59,59
2,1 0,1
2,1 1,2
2,1 2,3
2,1 3,4
2,1 4,0
2,1 5,6
2,1 6,7
2,1 7,8
2,1 8,9
2,1 9,5
2,1 10,11
2,1 11,12
2,1 12,13
2,1 13,14
2,1 14,10
2,1 15,16
2,1 16,17
2,1 17,18
2,1 18,19
2,1 19,15
2,1 20,21
2,1 21,22
2,1 22,23
2,1 23,24
2,1 24,20
2,1 25,26
2,1 26,27
2,1 27,28
2,1 28,29
2,1 29,25
2,1 30,31
2,1 31,32
2,1 32,33
2,1 33,34
2,1 34,30
2,1 35,36
2,1 36,37
2,1 37,38
2,1 38,39
2,1 39,35
2,1 40,41
2,1 41,42
2,1 42,43
2,1 43,44
2,1 44,40
2,1 45,46
2,1 46,47
2,1 47,48
2,1 48,49
2,1 49,45
2,1 50,51
2,1 51,52
2,1 52,53
2,1 53,54
2,1 54,50
2,1 55,56
2,1 56,57
2,1 57,58
2,1 58,59
2,1 59,55
2,2 0,2
2,2 1,3
2,2 2,4
2,2 3,0
2,2 4,1
2,2 5,7
2,2 6,8
2,2 7,9
2,2 8,5
2,2 9,6
2,2 10,12
2,2 11,13
2,2 12,14
2,2 13,10
2,2 14,11
2,2 15,17
2,2 16,18
2,2 17,19
2,2 18,15
2,2 19,16
2,2 20,22
2,2 21,23
2,2 22,24
2,2 23,20
2,2 24,21
2,2 25,27
2,2 26,28
2,2 27,29
2,2 28,25
2,2 29,26
2,2 30,32
2,2 31,33
2,2 32,34
2,2 33,30
2,2 34,31
2,2 35,37
2,2 36,38
2,2 37,39
2,2 38,35
2,2 39,36
2,2 40,42
2,2 41,43
2,2 42,44
2,2 43,40
2,2 44,41
2,2 45,47
2,2 46,48
2,2 47,49
2,2 48,45
2,2 49,46
2,2 50,52
2,2 51,53
2,2 52,54
2,2 53,50
2,2 54,51
2,2 55,57
2,2 56,58
2,2 57,59
2,2 58,55
2,2 59,56
2,3 0,3
2,3 1,4
2,3 2,0
2,3 3,1
2,3 4,2
2,3 5,8
2,3 6,9
2,3 7,5
2,3 8,6
2,3 9,7
2,3 10,13
2,3 11,14
2,3 12,10
2,3 13,11
2,3 14,12
2,3 15,18
2,3 16,19
2,3 17,15
2,3 18,16
2,3 19,17
2,3 20,23
2,3 21,24
2,3 22,20
2,3 23,21
2,3 24,22
2,3 25,28
2,3 26,29
2,3 27,25
2,3 28,26
2,3 29,27
2,3 30,33
2,3 31,34
2,3 32,30
2,3 33,31
2,3 34,32
2,3 35,38
2,3 36,39
2,3 37,35
2,3 38,36
2,3 39,37
2,3 40,43
2,3 41,44
2,3 42,40
2,3 43,41
2,3 44,42
2,3 45,48
2,3 46,49
2,3 47,45
2,3 48,46
2,3 49,47
2,3 50,53
2,3 51,54
2,3 52,50
2,3 53,51
2,3 54,52
2,3 55,58
2,3 56,59
2,3 57,55
2,3 58,56
2,3 59,57
2,4 0,4
2,4 1,0
2,4 2,1
2,4 3,2
2,4 4,3
2,4 5,9
2,4 6,5
2,4 7,6
2,4 8,7
2,4 9,8
2,4 10,14
2,4 11,10
2,4 12,11
2,4 13,12
2,4 14,13
2,4 15,19
2,4 16,15
2,4 17,16
2,4 18,17
2,4 19,18
2,4 20,24
2,4 21,20
2,4 22,21
2,4 23,22
2,4 24,23
2,4 25,29
2,4 26,25
2,4 27,26
2,4 28,27
2,4 29,28
2,4 30,34
2,4 31,30
2,4 32,31
2,4 33,32
2,4 34,33
2,4 35,39
2,4 36,35
2,4 37,36
2,4 38,37
2,4 39,38
2,4 40,44
2,4 41,40
2,4 42,41
2,4 43,42
2,4 44,43
2,4 45,49
2,4 46,45
2,4 47,46
2,4 48,47
2,4 49,48
2,4 50,54
2,4 51,50
2,4 52,51
2,4 53,52
2,4 54,53
2,4 55,59
2,4 56,55
2,4 57,56
2,4 58,57
2,4 59,58
2,5 0,5
2,5 1,6
2,5 2,7
2,5 3,8
2,5 4,9
2,5 5,10
2,5 6,11
2,5 7,12
2,5 8,13
2,5 9,14
2,5 10,0
2,5 11,1
2,5 12,2
2,5 13,3
2,5 14,4
2,5 15,30
2,5 16,31
2,5 17,32
2,5 18,33
2,5 19,34
2,5 20,40
2,5 21,41
2,5 22,42
2,5 23,43
2,5 24,44
2,5 25,35
2,5 26,36
2,5 27,37
2,5 28,38
2,5 29,39
2,5 30,45
2,5 31,46
2,5 32,47
2,5 33,48
2,5 34,49
2,5 35,55
2,5 36,56
2,5 37,57
2,5 38,58
2,5 39,59
2,5 40,50
2,5 41,51
2,5 42,52
2,5 43,53
2,5 44,54
2,5 45,15
2,5 46,16
2,5 47,17
2,5 48,18
2,5 49,19
2,5 50,20
2,5 51,21
2,5 52,22
2,5 53,23
2,5 54,24
2,5 55,25
2,5 56,26
2,5 57,27
2,5 58,28
2,5 59,29
2,6 0,6
2,6 1,7
2,6 2,8
2,6 3,9
2,6 4,5
2,6 5,11
2,6 6,12
2,6 7,13
2,6 8,14
2,6 9,10
2,6 10,1
2,6 11,2
2,6 12,3
2,6 13,4
2,6 14,0
2,6 15,31
2,6 16,32
2,6 17,33
2,6 18,34
2,6 19,30
2,6 20,41
2,6 21,42
2,6 22,43
2,6 23,44
2,6 24,40
2,6 25,36
2,6 26,37
2,6 27,38
2,6 28,39
2,6 29,35
2,6 30,46
2,6 31,47
2,6 32,48
2,6 33,49
2,6 34,45
2,6 35,56
2,6 36,57
2,6 37,58
2,6 38,59
2,6 39,55
2,6 40,51
2,6 41,52
2,6 42,53
2,6 43,54
2,6 44,50
2,6 45,16
2,6 46,17
2,6 47,18
2,6 48,19
2,6 49,15
2,6 50,21
2,6 51,22
2,6 52,23
2,6 53,24
2,6 54,20
2,6 55,26
2,6 56,27
2,6 57,28
2,6 58,29
2,6 59,25
2,7 0,7
2,7 1,8
2,7 2,9
2,7 3,5
2,7 4,6
2,7 5,12
2,7 6,13
2,7 7,14
2,7 8,10
2,7 9,11
2,7 10,2
2,7 11,3
2,7 12,4
2,7 13,0
2,7 14,1
2,7 15,32
2,7 16,33
2,7 17,34
2,7 18,30
2,7 19,31
2,7 20,42
2,7 21,43
2,7 22,44
2,7 23,40
2,7 24,41
2,7 25,37
2,7 26,38
2,7 27,39
2,7 28,35
2,7 29,36
2,7 30,47
2,7 31,48
2,7 32,49
2,7 33,45
2,7 34,46
2,7 35,57
2,7 36,58
2,7 37,59
2,7 38,55
2,7 39,56
2,7 40,52
2,7 41,53
2,7 42,54
2,7 43,50
2,7 44,51
2,7 45,17
2,7 46,18
2,7 47,19
2,7 48,15
2,7 49,16
2,7 50,22
2,7 51,23
2,7 52,24
2,7 53,20
2,7 54,21
2,7 55,27
2,7 56,28
2,7 57,29
2,7 58,25
2,7 59,26
2,8 0,8
2,8 1,9
2,8 2,5
2,8 3,6
2,8 4,7
2,8 5,13
2,8 6,14
2,8 7,10
2,8 8,11
2,8 9,12
2,8 10,3
2,8 11,4
2,8 12,0
2,8 13,1
2,8 14,2
2,8 15,33
2,8 16,34
2,8 17,30
2,8 18,31
2,8 19,32
2,8 20,43
2,8 21,44
2,8 22,40
2,8 23,41
2,8 24,42
2,8 25,38
2,8 26,39
2,8 27,35
2,8 28,36
2,8 29,37
2,8 30,48
2,8 31,49
2,8 32,45
2,8 33,46
2,8 34,47
2,8 35,58
2,8 36,59
2,8 37,55
2,8 38,56
2,8 39,57
2,8 40,53
2,8 41,54
2,8 42,50
2,8 43,51
2,8 44,52
2,8 45,18
2,8 46,19
2,8 47,15
2,8 48,16
2,8 49,17
2,8 50,23
2,8 51,24
2,8 52,20
2,8 53,21
2,8 54,22
2,8 55,28
2,8 56,29
2,8 57,25
2,8 58,26
2,8 59,27
2,9 0,9
2,9 1,5
2,9 2,6
2,9 3,7
2,9 4,8
2,9 5,14
2,9 6,10
2,9 7,11
2,9 8,12
2,9 9,13
2,9 10,4
2,9 11,0
2,9 12,1
2,9 13,2
2,9 14,3
2,9 15,34
2,9 16,30
2,9 17,31
2,9 18,32
2,9 19,33
2,9 20,44
2,9 21,40
2,9 22,41
2,9 23,42
2,9 24,43
2,9 25,39
2,9 26,35
2,9 27,36
2,9 28,37
2,9 29,38
2,9 30,49
2,9 31,45
2,9 32,46
2,9 33,47
2,9 34,48
2,9 35,59
2,9 36,55
2,9 37,56
2,9 38,57
2,9 39,58
2,9 40,54
2,9 41,50
2,9 42,51
2,9 43,52
2,9 44,53
2,9 45,19
2,9 46,15
2,9 47,16
2,9 48,17
2,9 49,18
2,9 50,24
2,9 51,20
2,9 52,21
2,9 53,22
2,9 54,23
2,9 55,29
2,9 56,25
2,9 57,26
2,9 58,27
2,9 59,28
2,10 0,10
2,10 1,11
2,10 2,12
2,10 3,13
2,10 4,14
2,10 5,0
2,10 6,1
2,10 7,2
2,10 8,3
2,10 9,4
2,10 10,5
2,10 11,6
2,10 12,7
2,10 13,8
2,10 14,9
2,10 15,45
2,10 16,46
2,10 17,47
2,10 18,48
2,10 19,49
2,10 20,50
2,10 21,51
2,10 22,52
2,10 23,53
2,10 24,54
2,10 25,55
2,10 26,56
2,10 27,57
2,10 28,58
2,10 29,59
2,10 30,15
2,10 31,16
2,10 32,17
2,10 33,18
2,10 34,19
2,10 35,25
2,10 36,26
2,10 37,27
2,10 38,28
2,10 39,29
2,10 40,20
2,10 41,21
2,10 42,22
2,10 43,23
2,10 44,24
2,10 45,30
2,10 46,31
2,10 47,32
2,10 48,33
2,10 49,34
2,10 50,40
2,10 51,41
2,10 52,42
2,10 53,43
2,10 54,44
2,10 55,35
2,10 56,36
2,10 57,37
2,10 58,38
2,10 59,39
2,11 0,11
2,11 1,12
2,11 2,13
2,11 3,14
2,11 4,10
2,11 5,1
2,11 6,2
2,11 7,3
2,11 8,4
2,11 9,0
2,11 10,6
2,11 11,7
2,11 12,8
2,11 13,9
2,11 14,5
2,11 15,46
2,11 16,47
2,11 17,48
2,11 18,49
2,11 19,45
2,11 20,51
2,11 21,52
2,11 22,53
2,11 23,54
2,11 24,50
2,11 25,56
2,11 26,57
2,11 27,58
2,11 28,59
2,11 29,55
2,11 30,16
2,11 31,17
2,11 32,18
2,11 33,19
2,11 34,15
2,11 35,26
2,11 36,27
2,11 37,28
2,11 38,29
2,11 39,25
2,11 40,21
2,11 41,22
2,11 42,23
2,11 43,24
2,11 44,20
2,11 45,31
2,11 46,32
2,11 47,33
2,11 48,34
2,11 49,30
2,11 50,41
2,11 51,42
2,11 52,43
2,11 53,44
2,11 54,40
2,11 55,36
2,11 56,37
2,11 57,38
2,11 58,39
2,11 59,35
2,12 0,12
2,12 1,13
2,12 2,14
2,12 3,10
2,12 4,11
2,12 5,2
2,12 6,3
2,12 7,4
2,12 8,0
2,12 9,1
2,12 10,7
2,12 11,8
2,12 12,9
2,12 13,5
2,12 14,6
2,12 15,47
2,12 16,48
2,12 17,49
2,12 18,45
2,12 19,46
2,12 20,52
2,12 21,53
2,12 22,54
2,12 23,50
2,12 24,51
2,12 25,57
2,12 26,58
2,12 27,59
2,12 28,55
2,12 29,56
2,12 30,17
2,12 31,18
2,12 32,19
2,12 33,15
2,12 34,16
2,12 35,27
2,12 36,28
2,12 37,29
2,12 38,25
2,12 39,26
2,12 40,22
2,12 41,23
2,12 42,24
2,12 43,20
2,12 44,21
2,12 45,32
2,12 46,33
2,12 47,34
2,12 48,30
2,12 49,31
2,12 50,42
2,12 51,43
2,12 52,44
2,12 53,40
2,12 54,41
2,12 55,37
2,12 56,38
2,12 57,39
2,12 58,35
2,12 59,36
2,13 0,13
2,13 1,14
2,13 2,10
2,13 3,11
2,13 4,12
2,13 5,3
2,13 6,4
2,13 7,0
2,13 8,1
2,13 9,2
2,13 10,8
2,13 11,9
2,13 12,5
2,13 13,6
2,13 14,7
2,13 15,48
2,13 16,49
2,13 17,45
2,13 18,46
2,13 19,47
2,13 20,53
2,13 21,54
2,13 22,50
2,13 23,51
2,13 24,52
2,13 25,58
2,13 26,59
2,13 27,55
2,13 28,56
2,13 29,57
2,13 30,18
2,13 31,19
2,13 32,15
2,13 33,16
2,13 34,17
2,13 35,28
2,13 36,29
2,13 37,25
2,13 38,26
2,13 39,27
2,13 40,23
2,13 41,24
2,13 42,20
2,13 43,21
2,13 44,22
2,13 45,33
2,13 46,34
2,13 47,30
2,13 48,31
2,13 49,32
2,13 50,43
2,13 51,44
2,13 52,40
2,13 53,41
2,13 54,42
2,13 55,38
2,13 56,39
2,13 57,35
2,13 58,36
2,13 59,37
2,14 0,14
2,14 1,10
2,14 2,11
2,14 3,12
2,14 4,13
2,14 5,4
2,14 6,0
2,14 7,1
2,14 8,2
2,14 9,3
2,14 10,9
2,14 11,5
2,14 12,6
2,14 13,7
2,14 14,8
2,14 15,49
2,14 16,45
2,14 17,46
2,14 18,47
2,14 19,48
2,14 20,54
2,14 21,50
2,14 22,51
2,14 23,52
2,14 24,53
2,14 25,59
2,14 26,55
2,14 27,56
2,14 28,57
2,14 29,58
2,14 30,19
2,14 31,15
2,14 32,16
2,14 33,17
2,14 34,18
2,14 35,29
2,14 36,25
2,14 37,26
2,14 38,27
2,14 39,28
2,14 40,24
2,14 41,20
2,14 42,21
2,14 43,22
2,14 44,23
2,14 45,34
2,14 46,30
2,14 47,31
2,14 48,32
2,14 49,33
2,14 50,44
2,14 51,40
2,14 52,41
2,14 53,42
2,14 54,43
2,14 55,39
2,14 56,35
2,14 57,36
2,14 58,37
2,14 59,38
2,15 0,15
2,15 1,16
2,15 2,17
2,15 3,18
2,15 4,19
2,15 5,25
2,15 6,26
2,15 7,27
2,15 8,28
2,15 9,29
2,15 10,20
2,15 11,21
2,15 12,22
2,15 13,23
2,15 14,24
2,15 15,0
2,15 16,1
2,15 17,2
2,15 18,3
2,15 19,4
2,15 20,10
2,15 21,11
2,15 22,12
2,15 23,13
2,15 24,14
2,15 25,5
2,15 26,6
2,15 27,7
2,15 28,8
2,15 29,9
2,15 30,50
2,15 31,51
2,15 32,52
2,15 33,53
2,15 34,54
2,15 35,45
2,15 36,46
2,15 37,47
2,15 38,48
2,15 39,49
2,15 40,55
2,15 41,56
2,15 42,57
2,15 43,58
2,15 44,59
2,15 45,35
2,15 46,36
2,15 47,37
2,15 48,38
2,15 49,39
2,15 50,30
2,15 51,31
2,15 52,32
2,15 53,33
2,15 54,34
2,15 55,40
2,15 56,41
2,15 57,42
2,15 58,43
2,15 59,44
2,16 0,16
2,16 1,17
2,16 2,18
2,16 3,19
2,16 4,15
2,16 5,26
2,16 6,27
2,16 7,28
2,16 8,29
2,16 9,25
2,16 10,21
2,16 11,22
2,16 12,23
2,16 13,24
2,16 14,20
2,16 15,1
2,16 16,2
2,16 17,3
2,16 18,4
2,16 19,0
2,16 20,11
2,16 21,12
2,16 22,13
2,16 23,14
2,16 24,10
2,16 25,6
2,16 26,7
2,16 27,8
2,16 28,9
2,16 29,5
2,16 30,51
2,16 31,52
2,16 32,53
2,16 33,54
2,16 34,50
2,16 35,46
2,16 36,47
2,16 37,48
2,16 38,49
2,16 39,45
2,16 40,56
2,16 41,57
2,16 42,58
2,16 43,59
2,16 44,55
2,16 45,36
2,16 46,37
2,16 47,38
2,16 48,39
2,16 49,35
2,16 50,31
2,16 51,32
2,16 52,33
2,16 53,34
2,16 54,30
2,16 55,41
2,16 56,42
2,16 57,43
2,16 58,44
2,16 59,40
2,17 0,17
2,17 1,18
2,17 2,19
2,17 3,15
2,17 4,16
2,17 5,27
2,17 6,28
2,17 7,29
2,17 8,25
2,17 9,26
2,17 10,22
2,17 11,23
2,17 12,24
2,17 13,20
2,17 14,21
2,17 15,2
2,17 16,3
2,17 17,4
2,17 18,0
2,17 19,1
2,17 20,12
2,17 21,13
2,17 22,14
2,17 23,10
2,17 24,11
2,17 25,7
2,17 26,8
2,17 27,9
2,17 28,5
2,17 29,6
2,17 30,52
2,17 31,53
2,17 32,54
2,17 33,50
2,17 34,51
2,17 35,47
2,17 36,48
2,17 37,49
2,17 38,45
2,17 39,46
2,17 40,57
2,17 41,58
2,17 42,59
2,17 43,55
2,17 44,56
2,17 45,37
2,17 46,38
2,17 47,39
2,17 48,35
2,17 49,36
2,17 50,32
2,17 51,33
2,17 52,34
2,17 53,30
2,17 54,31
2,17 55,42
2,17 56,43
2,17 57,44
2,17 58,40
2,17 59,41
2,18 0,18
2,18 1,19
2,18 2,15
2,18 3,16
2,18 4,17
2,18 5,28
2,18 6,29
2,18 7,25
2,18 8,26
2,18 9,27
2,18 10,23
2,18 11,24
2,18 12,20
2,18 13,21
