seed,input,target
233547,9 8 49,9 12 31
233547,47 18 15,47 10 45
233547,18 42 4,18 55 59
233547,13 14 57,13 7 29
233547,9 23 34,9 42 6
233547,29 1 47,29 25 2
233547,43 27 15,43 50 25
233547,30 25 55,30 10 35
233547,38 36 48,38 54 42
233547,11 55 14,11 36 30
233547,42 20 8,42 47 55
233547,34 2 1,34 31 32
233547,37 15 56,37 22 48
233547,17 16 44,17 3 42
233547,16 40 24,16 56 35
233547,29 38 50,29 42 27
233547,55 0 21,55 55 36
233547,35 0 20,35 35 25
233547,23 38 28,23 6 39
233547,26 24 10,26 55 45
233547,27 19 43,27 51 9
233547,13 44 57,13 22 49
233547,42 57 48,42 19 37
233547,10 28 8,10 58 51
233547,43 31 26,43 9 35
233547,11 28 32,11 59 26
233547,28 13 30,28 16 51
233547,38 41 18,38 49 12
233547,35 56 36,35 11 27
233547,7 34 27,7 46 3
233547,20 58 42,20 48 35
233547,54 56 6,54 30 36
233547,47 20 37,47 7 59
233547,36 6 40,36 42 2
233547,35 49 33,35 9 47
233547,4 18 58,4 17 40
233547,8 3 44,8 6 50
233547,38 37 20,38 50 15
233547,19 52 35,19 31 16
233547,12 31 47,12 18 35
233547,46 46 8,46 27 20
233547,53 45 8,53 43 31
233547,33 3 10,33 31 41
233547,50 33 10,50 13 8
233547,18 37 23,18 45 8
233547,59 11 29,59 45 4
233547,28 20 46,28 58 14
233547,25 9 7,25 24 16
233547,0 2 1,0 2 3
233547,14 2 17,14 11 48
233547,49 37 11,49 31 42
233547,11 9 32,11 0 32
233547,25 43 5,25 33 38
233547,50 9 3,50 49 47
233547,14 36 15,14 25 50
233547,52 44 52,52 6 23
233547,39 40 39,39 49 33
233547,0 57 58,0 57 0
233547,28 6 3,28 24 22
233547,45 36 3,45 31 34
233547,52 43 56,52 5 26
233547,31 1 34,31 32 21
233547,19 17 54,19 1 50
233547,33 32 14,33 20 29
233547,32 54 8,32 46 59
233547,13 30 27,13 18 5
233547,22 3 36,22 20 6
233547,37 19 16,37 21 37
233547,54 49 16,54 43 59
233547,31 55 41,31 51 7
233547,15 59 2,15 44 41
233547,53 51 1,53 39 35
233547,6 51 40,6 22 12
233547,28 43 6,28 31 37
233547,38 52 18,38 0 18
233547,37 53 14,37 0 14
233547,27 41 57,27 33 50
233547,48 55 17,48 23 35
233547,21 56 16,21 47 13
233547,25 33 54,25 38 2
233547,32 7 54,32 39 3
233547,10 27 38,10 57 20
233547,43 56 45,43 19 39
233547,10 11 30,10 6 46
233547,37 49 16,37 6 32
233547,42 31 21,42 8 44
233547,13 18 30,13 46 41
233547,48 29 1,48 2 3
233547,36 51 1,36 2 3
233547,26 0 29,26 26 45
233547,26 19 42,26 50 7
233547,48 31 10,48 44 39
233547,9 7 28,9 11 59
233547,58 59 35,58 2 37
233547,30 47 45,30 57 12
233547,35 29 50,35 19 34
233547,16 27 57,16 8 25
233547,52 59 13,52 31 44
233547,46 14 45,46 50 40
233547,50 39 43,50 4 42
233547,32 12 24,32 44 48
233547,44 20 8,44 49 57
233547,14 50 47,14 44 21
233547,13 45 25,13 33 13
233547,25 12 8,25 17 25
233547,58 10 35,58 48 33
233547,27 4 3,27 26 29
233547,50 13 27,50 58 30
233547,12 27 8,12 59 52
233547,1 1 35,1 2 37
233547,1 42 36,1 43 14
233547,48 20 9,48 8 12
233547,43 12 15,43 35 20
233547,20 17 13,20 37 30
233547,8 55 21,8 28 59
233547,55 59 51,55 4 50
233547,16 57 57,16 43 15
233547,58 47 38,58 10 28
233547,5 28 42,5 38 45
233547,25 7 14,25 22 26
233547,33 23 35,33 1 36
233547,49 32 13,49 41 39
233547,31 24 7,31 0 7
233547,41 33 19,41 9 33
233547,59 19 0,59 43 43
233547,42 14 30,42 36 56
233547,53 16 33,53 29 37
233547,7 33 6,7 45 56
233547,42 26 40,42 53 8
233547,50 22 52,50 17 34
233547,52 33 10,52 10 5
233547,21 47 37,21 53 0
233547,42 28 49,42 50 44
233547,3 19 59,3 17 41
233547,30 4 38,30 34 17
233547,58 54 54,58 7 21
233547,17 12 31,17 24 0
233547,13 47 47,13 30 57
233547,49 39 29,49 33 12
233547,11 12 9,11 8 12
233547,28 42 9,28 30 39
233547,9 36 45,9 55 10
233547,8 13 37,8 1 38
233547,17 46 29,17 38 17
233547,44 31 8,44 5 13
233547,33 23 48,33 1 49
233547,18 12 59,18 20 49
233547,9 52 26,9 21 42
233547,57 13 26,57 45 1
233547,6 1 6,6 7 13
233547,47 36 3,47 33 31
233547,54 36 49,54 0 49
233547,46 18 5,46 14 4
233547,26 25 48,26 46 29
233547,12 57 21,12 39 25
233547,12 15 24,12 47 6
233547,32 18 30,32 5 45
233547,9 44 27,9 53 20
233547,25 21 46,25 56 12
233547,51 19 27,51 25 47
233547,5 55 50,5 25 10
233547,42 9 49,42 31 55
233547,42 41 1,42 3 4
233547,33 11 51,33 44 25
233547,12 10 30,12 7 47
233547,23 15 15,23 38 23
233547,9 40 29,9 54 23
233547,29 17 46,29 51 42
233547,22 36 13,22 8 1
233547,58 28 14,58 31 40
233547,7 40 35,7 52 2
233547,44 8 37,44 32 19
233547,51 8 26,51 49 0
233547,13 56 1,13 39 35
233547,36 31 31,36 57 28
233547,25 25 57,25 45 22
233547,24 47 51,24 51 37
233547,34 37 13,34 16 24
233547,16 50 43,16 31 29
233547,37 12 42,37 34 26
233547,48 37 29,48 30 14
233547,23 29 34,23 42 6
233547,53 38 47,53 1 48
233547,8 50 53,8 23 56
233547,43 45 16,43 23 39
233547,42 48 54,42 20 59
233547,44 45 40,44 24 14
233547,8 43 50,8 51 36
233547,43 25 37,43 53 0
233547,36 4 49,36 35 9
233547,33 56 36,33 54 0
233547,34 20 2,34 4 1
233547,21 27 54,21 43 27
233547,20 30 35,20 0 35
233547,6 47 27,6 18 5
233547,32 10 44,32 42 1
233547,11 53 36,11 44 10
233547,24 32 49,24 1 45
233547,22 36 26,22 8 39
233547,51 14 46,51 55 11
233547,17 27 5,17 9 14
233547,25 29 41,25 49 35
233547,45 48 55,45 28 8
233547,55 1 48,55 56 14
233547,40 5 40,40 30 25
233547,30 54 6,30 49 55
233547,31 30 26,31 21 42
233547,23 52 31,23 55 26
233547,0 2 56,0 2 58
233547,17 20 2,17 12 14
233547,47 19 25,47 11 56
233547,10 9 26,10 4 25
233547,43 3 32,43 41 8
233547,13 48 15,13 31 6
233547,23 28 24,23 41 45
233547,20 27 6,20 42 33
233547,23 47 37,23 50 2
233547,19 54 28,19 33 11
233547,42 22 14,42 49 53
233547,17 15 8,17 2 5
233547,45 36 58,45 31 54
233547,14 49 39,14 33 17
233547,19 31 44,19 50 9
233547,36 20 6,36 26 22
233547,29 21 6,29 55 51
233547,31 18 29,31 9 38
233547,26 10 35,26 16 46
233547,17 17 54,17 4 53
233547,5 54 16,5 24 35
233547,28 22 2,28 55 57
233547,45 11 1,45 51 52
233547,54 5 28,54 49 2
233547,4 38 41,4 37 48
233547,26 13 40,26 19 59
233547,48 25 45,48 3 48
233547,29 14 3,29 18 16
233547,36 54 4,36 0 4
233547,9 55 3,9 29 27
233547,2 19 34,2 16 50
233547,54 20 13,54 19 22
233547,54 39 26,54 3 29
233547,5 47 13,5 17 20
233547,37 34 56,37 56 2
233547,23 32 35,23 0 35
233547,53 19 23,53 27 55
233547,45 6 7,45 56 53
233547,14 15 24,14 49 8
233547,38 45 33,38 8 46
233547,46 55 17,46 21 38
233547,26 40 35,26 31 16
233547,8 46 14,8 19 23
233547,24 4 57,24 23 45
233547,8 49 56,8 17 43
233547,4 36 8,4 35 43
233547,50 2 31,50 52 13
233547,49 4 23,49 48 6
233547,53 30 10,53 13 8
233547,25 33 1,25 38 39
233547,21 1 27,21 22 44
233547,56 24 52,56 35 2
233547,55 46 46,55 11 32
233547,41 4 33,41 40 8
233547,8 0 19,8 8 32
233547,36 35 4,36 51 50
233547,47 26 54,47 3 52
233547,9 55 16,9 29 50
233547,5 5 29,5 10 59
233547,31 13 48,31 44 22
233547,23 16 40,23 39 49
233547,35 38 46,35 53 44
233547,46 4 28,46 45 3
233547,53 44 29,53 7 36
233547,6 25 55,6 36 11
233547,17 44 25,17 56 31
233547,26 21 35,26 57 22
233547,40 55 8,40 15 28
233547,2 14 53,2 11 44
233547,13 54 21,13 42 48
233547,4 26 57,4 25 7
233547,54 34 45,54 13 33
233547,28 10 18,28 18 1
233547,35 31 6,35 56 52
233547,30 7 41,30 37 48
233547,27 31 53,27 38 1
233547,1 26 39,1 27 41
233547,17 40 27,17 57 34
233547,42 5 36,42 32 18
233547,48 3 16,48 46 12
233547,55 43 17,55 18 0
233547,11 17 58,11 48 21
233547,15 2 7,15 17 29
233547,38 56 33,38 14 17
233547,27 24 13,27 56 49
233547,30 44 44,30 29 33
233547,17 33 24,17 50 19
233547,38 14 36,38 32 18
233547,57 57 30,57 4 34
233547,19 30 10,19 54 59
233547,43 55 9,43 18 27
233547,36 34 21,36 55 36
233547,34 40 40,34 29 34
233547,36 53 34,36 4 33
233547,13 58 32,13 36 58
233547,40 43 11,40 3 14
233547,59 46 50,59 10 40
233547,7 17 9,7 34 38
233547,37 50 26,37 2 28
233547,13 19 40,13 47 37
233547,9 50 35,9 24 9
233547,15 48 15,15 38 23
233547,13 54 34,13 42 6
233547,28 51 32,28 14 16
233547,6 31 4,6 47 46
233547,5 0 48,5 5 18
233547,7 12 15,7 4 19
233547,19 15 8,19 4 7
233547,32 58 36,32 50 1
233547,10 59 7,10 39 41
233547,36 22 24,36 28 57
233547,16 22 23,16 13 51
233547,18 19 46,18 2 48
233547,13 46 35,13 34 19
233547,47 11 1,47 53 54
233547,27 24 26,27 56 32
233547,48 5 38,48 58 21
233547,4 34 15,4 33 8
233547,1 44 5,1 40 30
233547,46 43 9,46 39 43
233547,21 0 30,21 21 1
233547,34 20 44,34 4 43
233547,18 56 49,18 44 23
233547,42 0 55,42 42 17
233547,55 19 23,55 44 47
233547,19 45 8,19 39 42
233547,13 0 40,13 13 23
233547,12 43 33,12 20 3
233547,17 25 38,17 7 55
233547,21 21 52,21 32 49
233547,11 28 21,11 59 35
233547,47 15 12,47 12 9
233547,23 50 27,23 58 30
233547,27 54 26,27 11 57
233547,55 56 26,55 1 27
233547,31 21 19,31 2 16
233547,20 35 47,20 5 17
233547,53 52 0,53 35 35
233547,25 0 55,25 25 5
233547,22 4 8,22 21 19
233547,9 45 54,9 19 33
233547,57 6 54,57 53 37
233547,49 9 46,49 58 14
233547,22 23 21,22 30 1
233547,44 59 30,44 18 53
233547,38 36 50,38 54 39
233547,27 7 35,27 24 9
233547,25 34 53,25 39 2
233547,3 14 25,3 12 57
233547,59 11 18,59 45 13
233547,47 3 15,47 45 10
233547,43 38 31,43 11 17
233547,7 23 15,7 40 55
233547,34 55 14,34 54 58
233547,45 27 51,45 2 53
233547,32 27 39,32 14 28
233547,0 20 44,0 20 14
233547,39 25 43,39 19 57
233547,29 56 42,29 5 52
233547,6 21 29,6 42 51
233547,9 30 52,9 49 16
233547,44 12 39,44 36 50
233547,13 34 51,13 17 33
233547,40 19 30,40 59 29
233547,40 38 43,40 13 21
233547,2 52 24,2 54 18
233547,57 26 46,57 33 59
233547,32 19 40,32 6 51
233547,36 3 0,36 39 39
233547,41 30 7,41 6 13
233547,38 15 4,38 23 22
233547,38 34 17,38 57 44
233547,13 27 11,13 55 46
233547,53 10 16,53 58 44
233547,15 43 47,15 58 10
233547,19 52 37,19 31 18
233547,59 50 23,59 9 42
233547,14 9 22,14 3 20
233547,27 7 48,27 24 52
233547,46 49 15,46 25 50
233547,38 52 7,38 0 7
233547,4 36 50,4 35 0
233547,33 28 5,33 11 1
233547,57 53 4,57 5 9
233547,22 18 40,22 35 45
233547,14 21 32,14 50 12
233547,27 41 46,27 33 59
233547,39 6 43,39 40 3
233547,12 7 42,12 4 41
233547,18 30 22,18 53 15
233547,24 29 48,24 43 21
233547,10 27 27,10 57 34
233547,33 40 15,33 28 53
233547,17 43 17,17 55 42
233547,54 56 21,54 30 1
233547,19 59 53,19 43 26
233547,16 25 0,16 6 6
233547,4 22 44,4 21 10
233547,46 37 18,46 33 6
233547,33 32 16,33 20 36
233547,14 48 27,14 32 14
233547,32 54 10,32 46 51
233547,10 0 45,10 10 30
233547,27 30 45,27 37 7
233547,29 42 12,29 31 43
233547,50 23 24,50 18 12
233547,31 39 35,31 15 45
233547,41 3 8,41 44 32
233547,32 14 59,32 41 15
233547,30 40 31,30 25 36
233547,24 17 51,24 36 2
233547,54 9 30,54 48 43
233547,40 48 47,40 23 50
233547,21 56 18,21 47 10
233547,44 35 49,44 14 33
233547,40 42 3,40 2 0
233547,20 17 2,20 37 39
233547,27 57 3,27 9 7
233547,0 17 1,0 17 18
233547,40 0 6,40 40 31
233547,38 47 26,38 5 36
233547,7 15 5,7 32 37
233547,5 6 43,5 11 24
233547,15 56 56,15 41 17
233547,51 2 9,51 53 47
233547,16 25 13,16 6 4
233547,14 57 52,14 36 3
233547,4 47 50,4 46 16
233547,46 37 31,46 33 24
233547,3 43 55,3 41 16
233547,45 38 27,45 33 10
233547,38 17 39,38 20 9
233547,55 32 58,55 27 5
233547,6 29 0,6 35 35
233547,2 9 30,2 6 46
233547,24 15 18,24 39 22
233547,8 44 9,8 52 46
233547,51 38 53,51 4 52
233547,11 38 51,11 29 10
233547,46 29 32,46 0 32
233547,22 21 41,22 33 29
233547,43 35 1,43 13 14
233547,17 31 33,17 53 11
233547,14 1 49,14 10 34
233547,43 12 17,43 35 22
233547,16 13 16,16 24 35
233547,6 43 56,6 54 30
233547,3 31 58,3 34 52
233547,19 44 0,19 58 58
233547,40 25 12,40 50 57
233547,58 24 56,58 37 13
233547,19 21 16,19 10 46
233547,6 17 3,6 33 31
233547,4 3 20,4 2 22
233547,14 19 39,14 48 32
233547,49 35 20,49 34 4
233547,19 20 57,19 14 36
233547,55 33 0,55 28 28
233547,0 51 12,0 51 58
233547,41 13 42,41 39 46
233547,34 14 42,34 43 0
233547,46 36 48,46 32 55
233547,37 22 19,37 29 53
233547,20 12 21,20 27 58
233547,57 41 33,57 18 51
233547,35 54 58,35 4 57
233547,25 18 30,25 53 13
233547,56 7 8,56 53 46
233547,6 31 59,6 47 21
233547,8 2 25,8 5 35
233547,51 22 58,51 18 41
233547,30 20 48,30 0 48
233547,53 34 25,53 12 57
233547,2 2 3,2 4 2
233547,44 57 26,44 16 7
233547,54 24 41,54 18 59
233547,47 2 7,47 49 56
233547,33 1 32,33 34 21
233547,6 59 13,6 25 18
233547,46 24 51,46 5 21
233547,56 53 16,56 9 30
233547,24 51 11,24 55 46
233547,7 21 11,7 43 39
233547,4 44 34,4 43 7
233547,25 25 46,25 45 26
233547,24 47 40,24 51 6
233547,56 14 24,56 45 9
233547,8 6 36,8 14 25
233547,35 10 28,35 30 13
233547,11 39 6,11 25 21
233547,39 20 7,39 29 21
233547,46 20 53,46 6 24
233547,8 8 45,8 11 31
233547,54 54 41,54 38 49
233547,20 30 24,20 0 24
233547,11 35 8,11 26 24
233547,30 4 53,30 34 47
233547,17 53 47,17 30 57
233547,43 15 18,43 58 41
233547,12 45 26,12 32 13
233547,1 58 8,1 59 52
233547,15 34 40,15 54 9
233547,59 41 16,59 15 1
233547,5 41 9,5 51 45
233547,39 27 23,39 16 14
233547,24 9 27,24 18 5
233547,4 9 26,4 8 39
233547,9 51 45,9 20 50
233547,39 36 28,39 50 23
233547,7 55 22,7 27 59
233547,48 14 47,48 52 44
233547,22 9 33,22 16 54
233547,43 45 18,43 23 36
233547,56 48 35,56 14 29
233547,1 43 6,1 44 30
233547,13 6 7,13 4 6
233547,47 31 24,47 43 47
233547,9 5 50,9 14 44
233547,3 0 37,3 3 35
233547,54 28 1,54 22 23
233547,53 27 11,53 20 26
233547,53 26 52,53 24 56
233547,3 37 40,3 35 45
233547,8 19 45,8 32 57
233547,19 24 30,19 13 18
233547,49 13 4,49 52 51
233547,55 23 38,55 38 51
233547,20 41 51,20 11 42
233547,42 17 9,42 59 53
233547,1 15 28,1 16 9
233547,3 27 32,3 25 37
233547,16 11 36,16 22 8
233547,50 49 11,50 44 35
233547,2 12 20,2 14 54
233547,22 31 34,22 3 32
233547,3 7 53,3 5 23
233547,37 28 1,37 15 16
233547,53 54 6,53 37 43
233547,26 40 24,26 31 0
233547,14 37 31,14 26 37
233547,26 59 37,26 5 57
233547,33 12 8,33 40 33
233547,49 11 52,49 50 37
233547,44 3 58,44 42 15
233547,51 44 48,51 5 18
233547,24 23 59,24 32 51
233547,28 29 44,28 47 36
233547,2 24 30,2 21 1
233547,11 2 49,11 13 32
233547,14 11 15,14 5 30
233547,20 29 54,20 44 28
233547,59 51 20,59 5 40
233547,8 58 13,8 26 19
233547,34 6 18,34 35 23
233547,59 31 41,59 25 31
233547,50 37 14,50 2 11
233547,8 19 58,8 32 50
233547,6 23 35,6 44 14
233547,34 40 16,34 29 50
233547,10 48 33,10 33 21
233547,53 0 12,53 53 55
233547,45 3 4,45 48 47
233547,21 38 19,21 9 33
233547,49 40 56,49 39 10
233547,29 51 8,29 10 3
233547,40 23 45,40 48 28
233547,44 48 43,44 22 10
233547,9 9 10,9 13 8
233547,21 31 16,21 2 18
233547,25 37 1,25 42 43
233547,43 28 40,43 51 6
233547,16 7 51,16 28 14
233547,32 14 6,32 41 32
233547,13 31 26,13 19 5
233547,11 24 50,11 50 35
233547,12 32 59,12 19 43
233547,17 40 16,17 57 43
233547,20 13 59,20 28 7
233547,51 59 46,51 30 56
233547,46 50 25,46 16 6
233547,28 22 17,28 55 42
233547,59 12 41,59 46 37
233547,52 31 8,52 13 1
233547,35 45 51,35 5 21
233547,2 19 49,2 16 35
233547,12 9 11,12 1 12
233547,18 50 45,18 33 58
233547,52 24 5,52 16 26
233547,10 31 42,10 16 58
233547,50 29 28,50 24 42
233547,19 42 9,19 56 50
233547,12 21 21,12 53 19
233547,29 51 21,29 10 51
233547,16 27 6,16 8 14
233547,58 3 52,58 56 8
233547,51 48 8,51 44 32
233547,14 59 45,14 38 8
233547,48 33 5,48 41 31
233547,33 34 22,33 22 34
233547,27 32 14,27 39 33
233547,13 12 26,13 5 36
233547,5 0 37,5 5 57
233547,16 41 25,16 57 32
233547,32 48 17,32 55 42
233547,4 51 8,4 50 48
233547,25 51 33,25 11 19
233547,35 26 51,35 16 32
233547,31 33 5,31 24 19
233547,24 31 30,24 0 30
233547,5 49 50,5 19 34
233547,48 1 29,48 49 3
233547,52 26 27,52 23 40
233547,51 48 21,51 44 45
233547,41 53 31,41 29 35
233547,7 54 14,7 21 25
233547,26 55 11,26 6 2
233547,49 7 26,49 56 32
233547,31 21 8,31 2 5
233547,55 5 6,55 50 46
233547,0 35 35,0 35 50
233547,1 51 47,1 52 44
233547,53 29 42,53 22 14
233547,8 3 22,8 6 43
233547,7 46 15,7 18 3
233547,40 8 32,40 33 20
233547,50 17 44,50 27 31
233547,19 11 12,19 20 27
233547,43 58 29,43 16 5
233547,41 41 34,41 2 31
233547,40 43 26,40 3 29
233547,54 3 50,54 52 37
233547,2 15 10,2 17 22
233547,50 10 4,50 55 59
233547,31 51 8,31 47 55
233547,24 30 20,24 4 24
233547,58 42 6,58 15 26
233547,57 11 50,57 48 18
233547,26 46 56,26 2 58
233547,47 15 14,47 12 6
233547,17 27 49,17 9 18
233547,21 14 51,21 25 11
233547,49 16 51,49 10 41
233547,37 26 34,37 18 52
233547,0 35 48,0 35 8
233547,38 34 6,38 57 53
233547,30 3 4,30 33 32
233547,36 6 31,36 42 8
233547,41 7 49,41 33 57
233547,3 21 30,3 24 4
233547,38 37 11,38 50 56
233547,15 43 36,15 58 24
233547,48 5 53,48 58 6
233547,9 3 59,9 7 26
233547,26 32 13,26 38 31
233547,14 51 8,14 40 33
233547,41 9 58,41 30 53
233547,33 12 50,33 40 25
233547,53 3 2,53 51 53
233547,22 38 8,22 5 13
233547,34 20 59,34 4 58
233547,23 19 19,23 37 21
233547,16 17 44,16 3 42
233547,39 45 24,39 9 43
233547,42 13 9,42 35 44
233547,52 48 41,52 40 1
233547,25 8 39,25 23 7
233547,15 38 42,15 48 35
233547,3 48 25,3 46 1
233547,30 52 17,30 47 14
233547,18 49 24,18 37 26
233547,29 56 44,29 5 54
233547,35 37 27,35 52 24
233547,9 14 46,9 3 49
233547,21 36 52,21 7 24
233547,14 55 19,14 39 23
233547,7 34 31,7 46 42
233547,35 14 43,35 34 27
233547,37 26 47,37 18 35
233547,51 21 35,51 17 47
233547,47 1 28,47 48 1
233547,47 20 41,47 7 53
233547,45 55 7,45 20 17
233547,54 14 13,54 58 46
233547,0 48 0,0 48 48
233547,15 24 36,15 14 25
233547,27 49 47,27 1 48
233547,49 41 13,49 35 33
233547,40 14 38,40 39 52
233547,34 43 19,34 27 51
233547,31 16 40,31 7 52
233547,43 19 33,43 57 25
233547,44 19 57,44 58 0
233547,0 2 5,0 2 7
233547,35 25 30,35 15 50
233547,24 27 4,24 41 40
233547,22 40 30,22 12 17
233547,20 1 47,20 21 53
233547,15 38 55,15 48 23
233547,35 2 46,35 37 8
233547,9 53 14,9 22 26
233547,28 55 7,28 8 10
233547,32 7 45,32 39 9
233547,18 30 24,18 53 17
233547,11 31 24,11 17 11
233547,27 25 40,27 47 37
233547,46 19 30,46 10 15
233547,15 54 36,15 34 15
233547,45 45 56,45 25 6
233547,56 50 4,56 6 5
233547,38 24 31,38 27 38
233547,17 1 22,17 18 10
233547,40 21 54,40 46 15
233547,26 38 46,26 44 20
233547,18 41 38,18 59 22
233547,34 8 38,34 37 50
233547,55 29 42,55 34 26
233547,24 57 4,24 46 45
233547,28 8 53,28 21 59
233547,55 32 47,55 27 4
233547,52 36 57,52 3 55
233547,29 0 17,29 29 51
233547,6 51 44,6 22 11
233547,44 42 54,44 1 50
233547,18 18 27,18 1 28
233547,43 19 46,43 57 13
233547,51 57 55,51 33 53
233547,52 52 1,52 39 35
233547,20 24 7,20 34 36
233547,0 24 6,0 24 15
233547,16 23 50,16 14 44
233547,8 53 3,8 21 24
233547,50 35 36,50 0 36
233547,36 14 2,36 30 32
233547,20 59 1,20 49 45
233547,33 43 5,33 26 21
233547,51 34 44,51 10 24
233547,12 23 1,12 50 51
233547,31 11 59,31 42 16
233547,24 45 7,24 54 46
233547,39 21 6,39 25 21
233547,24 22 23,24 31 4
233547,21 52 22,21 58 35
233547,46 34 28,46 40 53
233547,8 48 9,8 16 25
233547,15 5 12,15 25 17
233547,33 32 31,33 20 1
233547,53 16 24,53 29 58
233547,37 22 8,37 29 22
233547,0 12 9,0 12 1
233547,39 33 16,39 57 43
233547,29 23 14,29 57 46
233547,11 3 59,11 14 38
233547,22 47 59,22 54 33
233547,43 42 6,43 0 6
233547,16 43 5,16 59 54
233547,31 38 54,31 19 33
233547,33 50 21,33 48 9
233547,39 7 0,39 41 41
233547,25 12 12,25 17 24
233547,43 44 52,43 2 54
233547,22 21 43,22 33 26
233547,38 54 44,38 2 41
233547,32 49 31,32 56 27
233547,4 33 9,4 32 36
