seed,input,target
490455,42 52 19 10 41 45 24 55 57 20,42 15 30 33 46 25 42 12 46 54
490455,37 34 40 3 28 40 10 42 29 59,37 33 45 38 49 37 47 4 44 2
490455,15 5 41 59 23 2 8 8 28 12,15 14 37 52 18 19 14 19 30 42
490455,3 21 25 24 5 14 27 13 26 45,3 30 3 12 16 27 0 13 41 4
490455,44 29 55 36 36 12 28 13 11 5,44 54 37 18 53 23 45 58 54 50
490455,37 35 34 10 30 0 14 43 28 47,37 34 20 14 58 58 47 5 56 1
490455,59 45 3 42 37 29 1 39 11 23,59 14 21 24 43 17 15 43 45 55
490455,38 37 6 47 57 56 16 25 20 41,38 32 25 53 5 23 57 10 53 27
490455,25 3 59 6 23 32 5 46 28 7,25 30 51 58 42 9 0 46 22 19
490455,28 9 20 17 0 59 34 2 41 55,28 34 50 7 7 22 26 25 48 39
490455,58 12 37 12 42 20 3 13 28 39,58 46 31 43 1 22 17 27 2 27
490455,1 44 11 22 28 41 3 27 56 32,1 59 48 6 19 8 11 45 24 20
490455,52 1 4 40 34 28 19 51 31 52,52 51 50 13 45 9 58 32 50 25
490455,10 8 11 0 22 2 53 40 1 31,10 1 5 5 29 27 41 2 0 31
490455,40 43 31 23 1 54 9 59 21 19,40 55 19 45 46 1 3 46 50 1
490455,48 14 38 54 14 23 4 41 45 59,48 11 24 52 23 54 48 25 52 37
490455,6 40 37 37 20 5 48 34 22 27,6 31 55 46 54 50 33 2 20 58
490455,40 16 4 49 11 25 21 46 59 51,40 17 21 39 47 30 47 2 44 4
490455,17 33 38 48 29 22 44 9 15 13,17 58 10 38 48 6 29 24 0 13
490455,57 6 5 48 10 21 30 36 48 59,57 56 58 35 25 0 30 16 0 59
490455,32 32 45 42 19 54 46 47 53 25,32 48 32 10 52 44 12 59 6 12
490455,27 35 7 24 16 30 48 18 27 37,27 8 2 48 0 30 56 26 49 47
490455,48 56 34 40 43 15 12 41 30 44,48 40 24 36 51 14 2 28 37 17
490455,42 5 6 9 36 30 1 8 40 22,42 36 45 44 19 24 25 34 9 55
490455,46 36 46 28 34 23 40 56 22 1,46 32 1 41 55 25 50 31 36 38
490455,10 27 10 5 16 25 4 59 7 47,10 33 27 25 8 48 52 37 40 49
490455,3 10 28 10 48 39 37 9 43 39,3 6 19 22 2 27 54 59 16 55
490455,39 59 15 18 25 35 32 8 28 29,39 54 26 0 25 41 49 58 18 7
490455,0 48 34 20 50 50 49 58 59 54,0 48 18 47 18 29 5 19 49 17
490455,44 10 46 36 34 47 7 42 16 48,44 38 27 55 12 59 52 5 35 5
490455,23 26 18 0 14 46 6 22 19 43,23 40 23 23 52 6 4 35 53 31
490455,19 22 47 34 55 9 10 49 21 20,19 47 0 34 41 43 46 6 45 52
490455,48 15 7 33 29 36 33 30 15 16,48 2 5 51 0 36 16 46 53 19
490455,32 22 33 9 37 56 42 51 25 23,32 41 56 52 10 43 1 27 5 28
490455,52 55 5 16 31 35 22 58 1 13,52 43 41 21 5 53 13 54 55 35
490455,8 59 22 54 29 20 59 44 28 8,8 29 14 34 23 49 19 5 56 48
490455,43 3 59 55 11 1 24 7 44 19,43 40 10 44 36 38 57 54 13 4
490455,44 18 35 16 57 58 57 33 16 11,44 28 45 48 44 0 57 2 22 13
490455,4 14 12 33 34 16 9 56 13 23,4 26 5 51 3 29 24 53 22 50
490455,22 1 57 50 16 11 36 43 19 18,22 23 24 56 30 34 5 47 49 8
490455,39 43 51 13 46 44 47 29 6 35,39 24 49 11 29 45 15 5 7 29
490455,36 45 52 16 40 2 5 49 20 16,36 56 16 32 8 7 3 36 10 55
490455,57 52 49 1 37 21 34 8 55 10,57 18 27 29 44 25 39 44 10 7
490455,33 29 59 24 36 46 54 1 51 23,33 9 31 16 52 6 51 53 2 19
490455,57 47 34 32 34 26 53 33 7 9,57 27 6 17 59 33 23 43 36 42
490455,37 38 14 19 18 2 5 14 13 49,37 20 39 15 31 30 26 4 24 55
490455,19 22 34 14 52 20 41 19 47 56,19 47 29 15 54 28 2 17 8 34
490455,42 13 13 14 6 20 41 23 17 49,42 32 42 31 35 51 40 14 10 37
490455,9 33 56 47 35 45 56 21 21 14,9 15 50 16 38 28 57 41 16 27
490455,37 5 36 12 35 2 46 2 25 9,37 44 19 40 26 25 51 52 33 29
490455,1 44 11 28 19 2 42 46 29 10,1 59 48 12 10 11 30 23 47 40
