length,input,target
2,20 31,56
2,0 3,3
2,50 10,56
2,47 50,18
2,24 42,40
2,45 26,7
2,28 48,55
2,2 9,6
2,39 33,11
2,3 17,28
2,31 12,43
2,43 40,3
2,52 52,40
2,29 31,58
2,1 17,19
2,36 30,23
2,58 55,28
2,1 43,58
2,13 39,24
2,33 8,31
2,46 10,36
2,25 0,25
2,10 0,10
2,15 3,12
2,21 0,21
2,54 1,55
2,50 24,45
2,24 26,17
2,54 59,39
2,25 8,34
2,53 13,22
2,22 59,7
2,36 45,56
2,59 40,19
2,35 28,46
2,16 13,29
2,1 47,56
2,38 9,39
2,48 53,37
2,53 14,21
2,46 27,23
2,58 20,37
2,28 37,4
2,39 44,26
2,49 57,20
2,31 38,54
2,9 59,31
2,46 37,31
2,16 18,34
2,46 13,59
2,52 6,48
2,25 20,9
2,44 19,29
2,58 44,0
2,39 27,1
2,10 20,53
2,1 9,3
2,9 57,30
2,42 49,18
2,44 2,42
2,11 46,29
2,42 49,18
2,31 16,41
2,57 36,35
2,34 25,15
2,39 6,43
2,5 57,18
2,14 42,46
2,56 28,42
2,41 21,16
2,47 23,51
2,19 55,56
2,5 26,48
2,40 24,31
2,5 37,38
2,27 57,47
2,17 39,3
2,57 32,3
2,28 39,0
2,51 4,50
2,4 51,54
2,13 54,58
2,14 34,54
2,24 6,30
2,17 2,16
2,55 14,33
2,42 37,57
2,38 40,26
2,53 52,1
2,30 49,54
2,41 21,16
2,40 3,43
2,4 26,38
2,9 33,15
2,1 55,31
2,26 29,50
2,22 56,4
2,43 12,31
2,57 55,13
2,18 40,57
2,33 52,21
2,8 17,47
2,4 3,7
2,58 10,55
2,12 0,12
2,48 26,23
2,41 57,25
2,3 56,41
2,27 10,30
2,53 16,19
2,33 57,19
2,44 34,49
2,32 7,26
2,36 15,1
2,7 32,34
2,18 41,59
2,56 54,20
2,41 29,52
2,10 39,21
2,42 33,1
2,18 27,6
2,0 27,27
2,29 21,12
2,27 31,9
2,20 45,24
2,8 40,20
2,31 56,2
2,36 3,39
2,2 38,25
2,34 40,9
2,55 35,13
2,59 41,18
2,16 25,41
2,40 0,40
2,6 22,46
2,24 31,18
2,32 30,49
2,0 45,45
2,12 52,37
2,21 11,19
2,20 57,3
2,20 19,44
2,7 29,31
2,33 20,58
2,51 41,40
2,49 53,13
2,43 14,32
2,54 6,52
2,20 20,42
2,36 33,16
2,7 26,24
2,53 39,29
2,43 13,30
2,22 20,57
2,3 25,14
2,43 26,20
2,49 24,33
2,42 22,27
2,38 30,56
2,21 24,2
2,55 45,38
2,24 10,34
2,3 58,47
2,46 14,57
2,52 48,46
2,55 6,59
2,6 14,38
2,18 51,31
2,57 15,38
2,11 40,35
2,45 31,2
2,39 36,31
2,12 33,31
2,8 49,26
2,59 8,51
2,21 0,21
2,40 5,42
2,49 12,10
2,13 28,37
2,54 0,54
2,28 11,33
2,47 58,14
2,55 39,44
2,34 44,1
2,28 17,20
2,41 24,58
2,46 5,39
2,46 6,44
2,48 28,12
2,24 48,54
2,50 40,13
2,39 55,48
2,48 22,6
2,7 37,49
2,51 0,51
2,56 59,13
2,8 12,38
2,18 8,22
2,12 52,37
2,31 18,47
2,2 0,2
2,44 2,42
2,47 29,34
2,58 16,39
2,46 31,17
2,50 30,41
2,50 7,53
2,49 11,53
2,22 53,11
2,36 18,11
2,20 12,41
2,12 3,15
2,39 26,8
2,49 52,12
2,15 31,7
2,24 33,22
2,56 5,58
2,56 20,24
2,52 5,56
2,13 11,22
2,25 6,33
2,20 17,45
2,31 20,45
2,25 52,13
2,20 14,39
2,52 18,14
2,54 38,23
2,59 48,11
2,52 31,24
2,9 7,6
2,20 33,48
2,38 42,35
2,30 3,25
2,56 8,48
2,30 22,45
2,41 12,20
2,10 49,37
2,56 42,8
2,31 44,51
2,53 6,55
2,46 10,36
2,31 26,15
2,49 3,54
2,25 40,50
2,29 41,39
2,9 5,0
2,19 1,18
2,32 30,49
2,4 44,20
2,38 47,29
2,40 9,36
2,43 41,5
2,3 47,58
2,18 15,36
2,34 15,52
2,50 18,2
2,24 40,36
2,44 8,39
2,52 31,24
2,2 34,58
2,53 47,25
2,21 27,9
2,52 34,31
2,47 43,5
2,18 54,24
2,50 0,50
2,6 24,13
2,0 46,46
2,37 51,50
2,31 1,32
2,7 25,26
2,57 3,50
2,7 36,50
2,50 29,37
2,20 34,50
2,40 50,8
2,42 1,44
2,28 40,1
2,6 15,39
2,50 26,47
2,58 6,50
2,25 48,15
2,48 36,33
2,55 31,19
2,22 29,33
2,48 51,38
2,49 24,33
2,57 40,30
2,41 41,0
2,43 8,38
2,51 10,54
2,55 43,40
2,22 29,33
2,52 35,30
2,55 13,35
2,15 24,0
2,54 22,30
2,17 37,2
2,58 52,31
2,24 43,39
2,25 2,24
2,58 28,18
2,19 6,13
2,32 7,26
2,3 22,31
2,1 45,54
2,38 0,38
2,3 36,49
2,44 17,33
2,27 27,0
2,37 8,41
2,11 43,32
2,12 51,36
2,22 53,11
2,24 16,1
2,24 34,21
2,52 40,0
2,39 56,49
2,9 3,2
2,43 39,4
2,41 13,18
2,34 14,56
2,17 48,40
2,27 6,34
2,10 11,6
2,29 47,38
2,11 38,24
2,36 33,16
2,24 6,30
2,49 54,17
2,2 50,37
2,11 10,1
2,47 50,18
2,55 45,38
2,45 57,28
2,55 29,15
2,53 35,37
2,57 51,20
2,45 50,31
2,55 8,57
2,24 45,47
2,41 43,9
2,52 1,51
2,23 47,4
2,20 50,0
2,40 23,14
2,19 39,6
2,33 56,13
2,4 26,38
2,6 10,9
2,6 26,14
2,54 57,41
2,44 43,22
2,51 28,1
2,32 36,4
2,56 21,29
2,40 51,1
2,48 46,30
2,31 6,35
2,4 26,38
2,32 26,55
2,52 28,27
2,12 11,20
2,19 48,53
2,20 18,43
2,48 14,11
2,43 58,49
