length,input,target
3,19 37 22,22
3,23 54 45,49
3,46 53 7,0
3,25 46 41,40
3,28 10 43,20
3,34 45 2,6
3,8 56 15,52
3,51 32 8,9
3,18 51 44,51
3,25 41 11,59
3,20 42 12,55
3,6 22 58,5
3,7 4 56,23
3,50 2 28,25
3,33 38 37,6
3,43 55 3,55
3,35 46 49,29
3,11 20 54,2
3,7 36 1,48
3,57 42 55,45
3,54 38 6,14
3,56 43 37,49
3,10 9 55,35
3,41 31 10,58
3,34 5 52,53
3,52 29 10,35
3,1 41 57,38
3,40 19 6,20
3,57 16 33,35
3,8 6 47,56
3,32 41 22,46
3,10 58 4,45
3,21 3 31,57
3,16 50 9,6
3,11 49 29,38
3,31 51 35,29
3,4 47 30,36
3,3 22 20,45
3,53 21 4,23
3,44 48 57,21
3,58 52 14,42
3,56 20 1,25
3,9 1 38,24
3,19 20 43,33
3,42 0 28,5
3,44 39 40,56
3,36 6 2,47
3,33 41 18,56
3,31 10 10,34
3,35 17 26,9
3,14 4 54,31
3,13 18 55,40
3,8 47 15,34
3,19 39 24,13
3,16 15 13,44
3,18 44 23,1
3,9 32 57,48
3,48 2 49,35
3,40 37 31,28
3,56 30 52,14
3,48 36 6,32
3,44 18 40,1
3,6 24 18,3
3,44 43 49,0
3,45 12 44,24
3,44 13 48,4
3,55 49 20,59
3,19 59 51,14
3,55 24 30,31
3,31 25 16,33
3,8 29 14,45
3,15 38 1,39
3,54 19 47,57
3,42 12 25,3
3,47 55 16,33
3,11 9 38,25
3,9 48 20,1
3,49 57 28,59
3,16 11 1,13
3,18 59 24,5
3,57 45 22,14
3,33 54 9,18
3,47 27 34,38
3,24 19 45,33
3,6 43 49,56
3,55 9 28,25
3,53 8 4,48
3,2 44 19,53
3,34 34 46,25
3,0 25 22,1
3,5 35 5,57
3,50 54 23,39
3,4 40 36,52
3,26 30 28,27
3,27 23 2,18
3,6 11 39,21
3,3 55 23,14
3,31 11 40,14
3,5 24 19,7
3,54 47 34,4
3,39 47 53,23
3,40 36 41,7
3,27 58 43,29
3,26 9 27,7
3,54 53 22,34
3,36 18 39,33
3,41 40 38,25
3,12 29 7,35
3,34 3 19,20
3,14 6 29,7
3,47 54 29,42
3,13 11 0,22
3,45 32 56,56
3,8 33 26,11
3,18 30 59,31
3,14 32 36,23
3,41 20 17,4
3,21 22 22,39
3,1 39 55,24
3,12 29 5,31
3,5 36 26,32
3,47 23 30,8
3,29 34 34,18
3,30 39 39,6
3,58 39 22,44
3,13 12 47,56
3,47 36 43,23
3,48 44 50,54
3,33 39 12,59
3,51 54 38,16
3,13 33 34,14
3,42 33 44,59
3,16 53 38,36
3,32 19 26,58
3,4 51 51,44
3,7 18 4,36
3,15 22 33,0
3,10 41 8,12
3,7 54 45,46
3,55 44 12,18
3,7 11 44,35
3,31 49 19,34
3,22 3 51,43
3,51 56 20,9
3,31 20 18,53
3,59 13 28,22
3,31 6 22,50
3,25 24 3,37
3,13 7 18,34
3,56 43 59,22
3,5 40 23,24
3,55 51 13,25
3,46 59 1,5
3,48 39 37,17
3,33 7 20,41
3,2 39 3,24
3,4 13 52,48
3,7 40 28,31
3,32 2 33,12
3,44 1 0,43
3,1 34 30,13
3,25 22 9,3
3,44 22 31,51
3,45 31 55,46
3,31 43 39,29
3,25 49 31,47
3,45 40 26,1
3,53 26 25,6
3,36 46 38,23
3,39 24 36,25
3,32 33 29,28
3,52 6 29,13
3,49 1 3,57
3,5 57 5,12
3,0 54 14,35
3,29 16 33,43
3,36 36 53,19
3,35 20 24,9
3,36 40 2,50
3,1 32 57,13
3,0 39 24,6
3,39 30 21,33
3,41 23 41,44
3,28 16 17,37
3,12 58 1,46
3,22 28 20,51
3,22 18 17,40
3,24 22 12,48
3,43 50 0,57
3,36 59 7,24
3,28 50 2,56
3,32 15 36,8
3,36 24 3,13
3,56 42 48,25
3,24 56 18,17
3,34 20 27,38
3,58 22 58,49
3,32 38 12,24
3,48 17 19,23
3,24 53 53,24
3,37 37 30,24
3,5 10 47,32
3,44 18 53,51
3,36 38 37,22
3,28 1 3,24
3,4 16 24,16
3,20 6 51,3
3,19 16 38,58
3,42 49 37,51
3,32 18 25,31
3,46 9 34,51
3,36 55 50,44
3,39 35 29,35
3,48 5 12,23
3,48 39 46,18
3,24 7 3,28
3,57 38 30,12
3,37 46 20,56
3,14 57 28,20
3,20 28 32,27
3,4 19 55,58
3,32 52 34,50
3,27 46 12,46
3,27 50 30,53
3,13 9 10,18
3,51 20 53,57
3,39 17 30,58
3,17 27 53,4
3,0 42 31,10
3,54 31 21,21
3,26 45 8,14
3,36 7 7,43
3,0 20 8,15
3,32 53 50,29
3,8 28 9,56
3,6 30 34,10
3,19 22 2,46
3,35 26 24,7
3,48 17 13,14
3,58 6 54,32
3,45 33 20,29
3,3 56 8,37
3,44 16 55,41
3,43 27 16,32
3,27 49 14,31
3,49 31 12,42
3,17 35 40,30
3,5 20 20,45
3,16 15 26,15
3,10 42 3,12
3,5 14 47,46
3,59 37 41,45
3,2 46 9,25
3,43 8 9,39
3,34 46 56,34
3,58 56 54,37
3,28 2 38,42
3,17 23 38,17
3,15 58 12,47
3,49 13 7,4
3,6 18 56,14
3,4 30 31,3
3,0 40 38,57
3,13 47 11,24
3,37 18 21,15
3,49 16 59,53
3,12 53 45,28
3,48 48 34,5
3,37 52 15,5
3,8 1 53,59
3,23 36 19,17
3,53 34 27,13
3,39 57 8,48
3,16 38 37,45
3,15 20 40,8
3,32 56 6,17
3,34 51 56,15
3,20 26 40,39
3,3 23 4,33
3,54 20 50,54
3,38 14 12,36
3,23 44 35,29
3,13 11 13,53
3,33 23 38,33
3,25 32 34,14
3,54 41 41,54
3,48 50 44,3
3,14 29 59,19
3,36 20 43,17
3,38 29 29,13
3,41 21 46,49
3,41 25 0,57
3,33 28 22,53
3,17 17 45,12
3,41 45 58,52
3,8 9 19,28
3,10 21 9,53
3,46 26 11,17
3,2 8 9,10
3,57 38 18,49
3,3 50 50,19
3,7 38 24,21
3,31 20 28,9
3,25 8 47,6
3,38 36 26,5
3,50 59 21,22
3,35 37 5,18
3,7 30 57,19
3,38 48 9,16
3,9 22 1,56
3,42 14 40,58
3,57 15 59,17
3,5 1 51,54
3,53 2 1,53
3,18 2 18,36
3,22 29 49,15
3,43 29 20,25
3,36 48 1,31
3,38 20 43,52
3,22 4 1,17
3,53 35 26,32
3,38 53 51,36
3,28 57 31,30
3,45 34 50,13
3,22 26 47,57
3,42 11 34,55
3,9 0 11,4
3,25 36 27,5
3,6 30 40,42
3,48 46 36,16
3,9 3 4,10
3,26 23 2,8
3,0 40 2,39
3,45 22 42,14
3,47 59 29,25
3,39 24 51,57
3,14 34 17,25
3,26 38 56,8
3,38 9 11,47
3,44 40 26,53
3,10 10 12,37
3,55 31 16,42
3,16 25 48,31
3,47 51 37,1
3,37 30 15,19
3,36 14 40,59
3,38 6 12,30
3,36 18 56,19
3,5 59 29,57
3,51 29 36,36
3,10 31 14,15
3,14 14 48,48
3,2 26 4,58
3,7 29 33,12
3,56 53 59,57
