seed,input,target
348375,4 42 9 40 2,4 46 45 35 37
348375,48 19 21 42 55,48 57 38 0 55
348375,4 2 59 39 2,4 6 55 24 26
348375,21 18 4 35 54,21 39 33 48 22
348375,36 1 0 21 7,36 37 37 58 55
348375,28 26 36 33 44,28 4 30 43 37
348375,33 32 21 41 35,33 45 16 27 12
348375,9 15 17 39 31,9 14 1 30 41
348375,20 2 18 56 37,20 22 30 16 53
348375,52 11 29 8 8,52 43 12 10 18
348375,45 45 33 48 15,45 30 43 31 26
348375,2 45 57 28 43,2 47 24 2 45
348375,18 40 23 51 39,18 28 1 52 21
348375,31 54 19 54 1,31 15 4 58 59
348375,56 36 25 12 18,56 22 7 19 7
348375,38 12 17 19 46,38 20 37 26 52
348375,24 59 56 18 30,24 43 29 37 47
348375,22 15 2 52 56,22 37 39 11 37
348375,33 2 19 5 0,33 35 24 29 29
348375,21 3 6 27 58,21 24 20 7 55
348375,42 56 25 41 49,42 28 3 44 33
348375,10 26 8 4 46,10 46 44 48 34
348375,14 54 34 50 10,14 38 42 22 32
348375,4 33 26 40 39,4 37 53 13 52
348375,29 11 21 32 8,29 30 51 23 21
348375,22 23 44 11 29,22 5 49 50 39
348375,23 52 15 45 55,23 45 50 15 30
348375,46 5 50 43 51,46 41 21 54 5
348375,31 5 56 40 40,31 36 12 22 52
348375,31 32 42 12 35,31 43 35 27 12
348375,17 9 10 41 53,17 16 6 47 20
348375,18 59 23 59 51,18 37 50 9 50
348375,57 18 14 13 5,57 45 59 42 47
348375,32 8 8 59 44,32 30 38 17 21
348375,43 24 20 40 34,43 17 47 37 41
348375,27 46 38 55 15,27 53 21 46 51
348375,27 50 18 58 55,27 47 55 3 58
348375,27 49 18 38 39,27 56 44 2 31
348375,50 43 30 5 21,50 13 53 58 39
348375,13 46 3 36 29,13 29 22 18 47
348375,7 36 28 59 40,7 33 51 0 40
348375,31 47 2 43 5,31 8 0 43 48
348375,44 40 26 51 59,44 34 50 1 50
348375,16 2 48 28 45,16 18 26 4 49
348375,34 2 50 11 31,34 36 16 7 38
348375,51 49 31 41 36,51 10 51 12 58
348375,51 3 8 5 43,51 54 52 57 10
348375,38 38 4 53 19,38 46 40 23 32
348375,57 42 4 56 56,57 19 13 39 15
348375,35 44 43 11 38,35 9 42 53 21
348375,43 14 50 49 51,43 57 7 46 27
348375,6 57 17 52 59,6 53 40 22 41
348375,15 15 7 31 47,15 0 7 38 5
348375,27 4 43 15 44,27 21 54 49 33
348375,31 5 44 22 45,31 36 0 22 57
348375,4 11 42 10 54,4 15 27 37 11
348375,25 22 33 34 1,25 7 30 44 45
348375,5 9 43 42 39,5 4 47 39 48
348375,51 56 20 50 49,51 7 27 47 36
348375,36 47 9 14 58,36 3 2 16 34
348375,18 32 8 6 57,18 50 58 54 1
348375,25 44 42 32 0,25 59 11 53 53
348375,52 52 27 51 21,52 4 21 42 13
348375,11 25 20 17 49,11 46 16 3 42
348375,59 47 49 47 1,59 16 25 52 53
348375,26 5 25 44 26,26 21 6 40 16
348375,55 54 18 18 44,55 9 17 5 49
348375,52 46 35 13 26,52 18 53 46 12
348375,43 5 29 59 1,43 48 17 36 37
348375,17 36 44 4 19,17 53 17 11 0
348375,51 58 45 4 37,51 9 44 48 5
348375,23 33 19 15 24,23 16 5 10 44
348375,44 33 4 48 9,44 7 1 49 48
348375,12 30 49 41 53,12 52 11 22 45
348375,25 26 41 34 30,25 1 42 6 36
348375,6 7 38 32 14,6 3 31 43 57
348375,20 53 11 25 51,20 43 54 39 10
348375,59 17 52 23 9,59 46 28 1 0
348375,23 26 50 19 22,23 9 59 48 10
348375,21 38 59 22 48,21 19 38 50 18
348375,57 4 27 8 12,57 51 38 36 28
348375,41 37 11 23 13,41 8 19 42 55
348375,27 42 10 37 14,27 59 49 6 10
348375,28 10 33 41 3,28 38 41 32 35
348375,47 22 44 1 44,47 19 23 24 58
348375,51 58 27 29 33,51 9 26 5 38
348375,49 43 40 23 21,49 32 2 25 6
348375,8 20 54 43 56,8 28 42 35 11
348375,7 18 50 0 3,7 15 35 35 38
348375,33 22 6 11 44,33 55 51 42 36
348375,53 10 22 52 1,53 43 15 37 38
348375,47 35 15 10 39,47 2 17 7 36
348375,0 14 1 47 31,0 14 15 22 13
348375,4 4 45 37 21,4 8 43 0 21
348375,56 4 58 1 29,56 50 8 9 28
348375,1 43 38 6 11,1 44 2 8 19
348375,54 13 51 28 54,54 47 28 6 50
348375,4 55 24 5 51,4 59 33 38 19
348375,45 55 13 23 28,45 20 33 56 34
348375,5 58 28 52 47,5 53 31 13 20
348375,34 42 25 47 8,34 6 21 58 56
348375,10 43 55 36 33,10 23 48 4 37
348375,37 19 28 56 40,37 26 4 50 10
348375,59 35 22 19 41,59 24 6 15 26
348375,35 47 41 13 16,35 2 43 56 42
348375,22 2 29 30 38,22 24 3 33 41
348375,59 34 54 56 43,59 23 47 23 56
348375,45 14 8 40 5,45 59 57 17 12
348375,16 40 59 7 8,16 26 45 42 40
348375,16 27 45 1 48,16 43 38 39 7
348375,28 45 8 26 31,28 53 51 37 48
348375,34 56 45 41 25,34 10 25 56 31
348375,30 23 21 52 7,30 53 34 16 13
348375,28 34 29 27 24,28 12 41 18 42
348375,35 54 6 53 12,35 19 15 38 20
348375,40 21 15 5 28,40 11 6 1 29
348375,30 43 16 18 35,30 3 19 7 32
348375,59 21 23 46 0,59 30 53 19 19
348375,58 16 47 22 14,58 44 31 53 47
348375,28 34 59 13 53,28 12 31 24 47
348375,12 25 41 48 16,12 47 38 6 12
348375,54 14 20 3 8,54 48 18 11 19
348375,14 35 1 54 37,14 59 50 4 31
348375,33 45 58 57 41,33 8 56 3 44
348375,26 15 37 28 48,26 31 48 16 24
348375,45 18 59 2 58,45 53 2 4 52
348375,6 5 28 56 29,6 1 29 45 14
348375,53 37 18 23 35,53 20 38 51 26
348375,53 1 22 19 10,53 54 36 25 35
348375,26 58 14 14 34,26 44 58 42 6
348375,6 30 24 20 54,6 36 50 30 14
348375,58 1 18 50 40,58 59 47 27 57
348375,31 9 9 10 6,31 30 39 29 25
348375,25 48 1 18 17,25 53 54 42 59
348375,11 24 23 34 29,11 45 18 52 31
348375,4 43 12 54 17,4 47 59 3 10
348375,36 1 2 55 18,36 37 39 14 2
348375,12 34 42 57 24,12 56 18 35 59
348375,28 4 40 24 9,28 22 52 36 35
348375,5 27 11 42 39,5 22 33 5 34
348375,31 44 51 4 3,31 5 56 50 53
348375,43 12 35 18 10,43 55 20 38 28
348375,9 22 37 2 43,9 21 18 10 23
348375,54 8 36 31 11,54 52 28 19 0
348375,56 1 4 26 32,56 57 51 37 49
348375,51 43 49 24 52,51 14 23 7 59
348375,24 37 52 13 52,24 11 33 26 48
348375,21 9 44 19 0,21 20 54 43 43
348375,32 40 28 57 38,32 2 20 47 5
348375,8 59 57 55 37,8 57 4 59 26
348375,38 29 4 16 2,38 57 51 47 49
348375,26 26 45 49 10,26 2 47 36 26
348375,15 47 32 16 52,15 22 14 0 52
348375,15 41 18 31 13,15 26 34 45 58
348375,13 23 55 47 23,13 46 21 58 31
348375,31 10 52 47 41,31 21 43 30 1
348375,38 36 4 30 25,38 44 48 8 23
348375,37 13 19 1 55,37 20 39 30 15
348375,0 40 2 17 49,0 40 42 59 18
348375,15 59 48 23 22,15 34 2 25 7
348375,33 14 32 49 20,33 27 19 28 8
348375,53 57 34 27 36,53 0 34 51 27
348375,58 1 15 23 40,58 59 44 17 27
348375,39 52 13 41 17,39 11 4 45 52
348375,18 1 38 3 0,18 19 57 50 50
348375,43 5 6 11 24,43 48 44 55 39
348375,22 16 56 50 22,22 38 14 34 56
348375,27 8 23 59 10,27 25 8 57 47
348375,16 4 56 11 1,16 10 36 27 28
348375,55 18 17 34 0,55 43 50 24 24
348375,53 5 58 25 17,53 58 6 21 38
348375,4 50 52 28 32,4 54 6 24 16
348375,10 50 14 20 17,10 30 24 4 11
348375,32 45 24 22 10,32 7 21 3 13
348375,0 7 0 47 26,0 7 7 44 10
348375,32 12 45 57 0,32 24 59 6 6
348375,39 47 28 51 38,39 6 24 45 3
348375,15 57 37 44 31,15 32 49 33 44
348375,40 15 1 43 31,40 55 56 19 50
348375,14 56 39 11 28,14 30 49 50 38
348375,2 14 21 11 46,2 16 47 58 14
348375,50 53 38 21 27,50 3 31 52 39
348375,4 9 27 50 35,4 3 20 40 5
348375,31 44 51 34 16,31 5 56 20 36
348375,28 21 31 4 17,28 9 30 34 21
348375,32 51 30 43 34,32 13 53 16 50
348375,52 52 35 10 52,52 4 39 29 41
348375,23 1 52 2 0,23 24 46 48 48
348375,39 41 26 31 26,39 0 26 17 43
348375,42 2 10 7 24,42 44 54 51 35
348375,20 7 10 28 57,20 27 37 55 2
348375,34 50 36 8 35,34 14 50 58 23
348375,1 22 14 35 31,1 23 37 42 3
348375,29 10 56 44 14,29 39 15 29 33
348375,20 7 42 22 2,20 27 59 31 33
348375,30 12 35 25 2,30 22 17 42 44
348375,41 37 29 35 9,41 8 27 12 11
348375,45 39 32 29 40,45 4 36 55 15
348375,46 17 19 12 52,46 53 42 54 6
348375,38 46 26 22 55,38 4 20 2 57
348375,39 20 57 38 30,39 59 6 34 44
348375,51 4 16 4 45,51 55 41 45 30
348375,24 0 18 50 36,24 24 32 12 58
348375,34 52 59 50 25,34 16 35 15 40
348375,14 48 23 50 42,14 22 5 55 17
348375,32 15 24 23 45,32 27 1 24 59
348375,38 37 17 34 55,38 45 52 26 41
348375,28 14 30 46 20,28 32 42 38 58
348375,38 32 8 30 30,38 40 48 8 38
348375,10 29 17 25 1,10 49 56 31 32
348375,34 33 11 48 42,34 47 58 16 28
348375,58 1 3 24 7,58 59 52 36 33
348375,13 26 48 22 43,13 49 37 59 12
348375,28 8 28 29 14,28 26 4 23 37
348375,38 2 6 1 35,38 30 36 37 42
348375,56 1 23 18 29,56 57 30 28 7
348375,5 27 23 34 20,5 22 5 39 59
348375,6 33 11 11 12,6 39 20 31 23
348375,28 52 14 3 9,28 40 54 57 56
348375,29 27 54 56 25,29 6 50 6 21
348375,28 58 42 43 35,28 46 38 1 36
348375,19 6 54 37 34,19 15 39 46 0
348375,20 43 45 11 44,20 53 18 9 43
348375,48 11 26 37 41,48 59 35 42 33
348375,54 22 52 56 36,54 36 18 34 40
348375,43 48 4 39 49,43 31 35 44 33
348375,53 1 56 21 38,53 54 0 21 19
348375,34 9 5 56 46,34 33 38 14 20
348375,18 59 3 19 46,18 37 30 29 55
348375,40 30 21 13 13,40 0 21 34 27
348375,22 33 51 44 27,22 15 36 0 27
348375,35 55 33 47 12,35 10 53 10 2
348375,18 18 44 7 44,18 6 40 47 31
348375,29 3 59 0 39,29 22 41 41 0
348375,23 0 22 39 58,23 23 5 34 12
348375,58 16 16 17 13,58 44 50 47 50
348375,54 1 35 58 1,54 55 20 48 49
348375,36 43 53 33 36,36 9 52 25 11
348375,55 53 51 22 18,55 8 59 31 29
348375,38 15 49 1 53,38 23 52 53 6
348375,54 29 46 33 36,54 33 9 32 48
348375,4 46 34 48 0,4 40 4 42 42
348375,11 11 44 16 54,11 2 46 52 6
348375,46 58 33 13 54,46 24 17 0 54
348375,37 43 6 47 26,37 0 6 43 19
348375,24 3 21 46 28,24 27 8 44 12
348375,56 19 22 31 5,56 45 17 58 53
348375,56 58 18 11 37,56 4 12 3 30
348375,57 56 37 17 21,57 3 30 27 8
348375,20 16 30 6 41,20 36 46 42 33
348375,50 47 11 32 46,50 17 8 30 6
348375,30 51 55 55 30,30 11 36 11 51
348375,9 45 10 49 31,9 44 54 13 54
348375,3 1 11 27 13,3 4 15 42 55
348375,22 3 44 18 42,22 25 59 47 39
348375,20 37 20 30 28,20 17 47 7 25
348375,21 33 16 8 59,21 14 0 8 57
348375,56 44 47 23 6,56 10 27 0 6
348375,6 44 7 26 14,6 40 47 13 7
348375,24 32 58 53 18,24 16 34 17 5
348375,31 0 22 54 26,31 31 53 7 23
348375,19 14 51 1 10,19 3 54 55 45
348375,31 25 23 47 44,31 56 39 6 40
348375,8 17 30 19 3,8 15 55 44 47
348375,1 36 26 6 58,1 37 53 59 7
348375,4 27 18 8 7,4 21 39 37 34
348375,50 2 22 45 29,50 52 34 9 28
348375,56 15 30 19 29,56 41 1 10 49
348375,54 38 40 57 50,54 22 52 9 59
348375,26 45 26 41 31,26 51 37 8 39
348375,50 17 9 41 52,50 47 46 37 19
348375,10 19 38 33 6,10 9 37 40 46
348375,44 56 21 24 4,44 20 1 25 29
348375,27 21 38 49 25,27 8 36 5 20
348375,43 31 18 1 33,43 4 12 13 56
348375,44 7 1 12 8,44 41 42 54 52
348375,2 11 32 24 12,2 13 55 39 21
348375,23 42 41 11 24,23 55 16 7 21
348375,36 24 48 4 17,36 50 18 12 9
348375,12 38 39 10 59,12 50 29 39 18
348375,21 18 2 3 0,21 39 31 34 34
348375,2 12 47 29 19,2 14 21 0 19
348375,54 20 6 11 13,54 34 30 21 34
348375,10 46 10 23 33,10 26 36 59 22
348375,6 6 19 10 52,6 2 11 1 53
348375,41 8 34 54 13,41 49 3 57 40
348375,37 15 3 40 7,37 22 25 55 52
348375,15 2 14 9 26,15 17 1 0 26
348375,57 40 0 2 14,57 17 17 19 3
348375,54 6 19 32 35,54 50 49 1 36
348375,27 29 19 46 18,27 6 15 21 39
348375,48 44 51 2 11,48 32 13 15 6
348375,49 21 33 28 35,49 10 53 31 46
348375,43 17 50 22 48,43 50 0 22 50
348375,44 56 1 48 16,44 20 21 59 45
348375,35 9 59 4 47,35 34 13 17 24
348375,16 51 15 43 21,16 37 22 55 36
348375,34 20 51 16 51,34 54 5 11 32
348375,6 56 50 14 35,6 52 2 16 51
348375,57 24 15 36 37,57 31 26 12 59
348375,28 2 19 13 31,28 20 39 22 13
348375,5 46 29 11 39,5 41 10 1 30
348375,35 42 43 18 42,35 7 40 58 10
348375,44 3 16 53 25,44 47 53 6 21
348375,57 19 0 50 40,57 46 46 26 56
348375,53 5 18 52 52,53 58 46 28 40
348375,14 24 51 23 1,14 48 29 2 3
348375,38 27 24 7 54,38 55 39 36 10
348375,52 5 54 11 32,52 57 1 12 54
348375,6 20 46 2 44,6 26 52 54 18
348375,52 18 14 56 57,52 40 54 0 57
348375,13 37 44 28 26,13 50 14 42 18
348375,5 3 21 26 16,5 8 29 5 11
348375,23 52 44 32 56,23 45 39 41 27
348375,59 17 38 25 16,59 46 4 29 35
348375,32 24 3 53 26,32 56 59 2 28
348375,0 33 44 36 44,0 33 7 33 7
348375,9 16 32 48 2,9 15 57 15 17
348375,16 31 36 24 8,16 57 23 7 5
348375,27 59 17 3 57,27 46 53 56 3
348375,55 1 35 31 35,55 56 21 12 57
348375,22 9 17 3 27,22 21 38 31 58
348375,24 21 37 52 31,24 5 32 14 55
348375,18 46 2 44 2,18 24 26 50 52
348375,20 10 28 23 20,20 30 58 31 51
348375,58 19 30 11 8,58 47 7 18 16
348375,35 44 25 0 3,35 9 24 24 27
348375,7 35 9 15 37,7 32 31 26 13
348375,13 12 38 57 14,13 5 33 10 4
348375,12 23 47 15 41,12 45 32 27 58
348375,30 57 33 7 10,30 17 50 57 47
348375,14 14 19 14 46,14 8 17 1 47
348375,27 53 32 0 10,27 40 2 2 12
348375,37 29 25 16 47,37 56 31 27 54
348375,25 37 51 22 47,25 12 33 55 12
348375,49 8 58 32 57,49 47 25 17 34
348375,23 57 46 34 55,23 40 36 40 25
348375,36 57 31 49 16,36 13 54 13 9
348375,37 40 7 6 27,37 7 4 0 27
348375,12 59 1 56 19,12 31 32 18 7
348375,36 44 52 59 20,36 0 52 1 21
348375,22 43 53 32 17,22 55 8 30 27
348375,42 26 7 39 16,42 18 15 54 40
348375,36 12 2 19 26,36 28 20 39 55
348375,22 29 42 21 32,22 1 43 14 56
348375,40 26 11 47 33,40 16 7 44 7
348375,5 13 25 22 45,5 18 43 15 20
348375,28 49 55 53 37,28 57 2 55 22
348375,28 15 3 14 19,28 33 36 20 39
