length,input,target
11,21 92 18 3 76 88 60 111 12 81 107,83
11,21 10 89 15 4 112 64 41 47 59 93,27
11,6 47 14 83 108 44 55 98 28 46 89,97
11,25 2 74 77 23 78 25 32 114 34 52,54
11,93 39 5 109 51 11 32 16 111 77 73,119
11,85 117 110 39 102 98 92 3 52 114 50,7
11,115 97 104 119 84 90 65 37 3 96 42,88
11,31 67 61 56 104 45 117 6 11 55 48,90
11,30 21 37 28 112 93 31 69 47 1 8,33
11,117 113 103 72 68 34 83 99 79 17 31,114
11,45 29 87 52 27 99 36 95 83 29 96,80
11,108 112 37 9 81 99 105 14 66 21 109,15
11,64 69 37 11 112 85 99 84 0 48 104,67
11,97 103 17 63 108 37 102 51 62 3 15,71
11,109 67 114 31 115 49 99 113 56 116 22,60
11,109 46 41 3 58 51 62 38 33 63 24,107
11,0 57 13 70 39 77 56 15 28 102 77,85
11,80 113 78 99 35 65 8 28 27 106 12,32
11,60 71 115 38 52 111 66 50 113 8 31,12
11,108 14 49 66 98 23 90 90 33 96 40,57
11,34 25 59 37 59 83 11 24 19 38 9,87
11,97 29 117 25 89 37 53 68 0 111 102,71
11,93 76 88 47 19 69 47 88 102 76 84,32
11,10 99 19 66 105 2 109 96 68 14 0,67
11,7 88 16 34 8 86 54 60 46 42 23,34
11,5 116 107 69 5 13 54 30 118 52 77,86
11,91 24 20 98 90 45 13 73 118 90 58,16
11,59 105 81 48 23 36 13 61 96 70 117,34
11,56 31 7 42 40 39 10 23 118 9 34,64
11,95 67 75 65 57 99 54 105 117 4 39,29
11,19 56 30 18 74 74 29 35 82 118 9,82
11,60 33 11 86 87 15 112 21 29 61 16,69
11,28 30 36 63 87 94 53 34 114 76 12,56
11,91 41 2 62 53 117 2 92 61 59 106,106
11,76 114 53 97 78 85 13 105 52 103 61,47
11,34 11 104 117 1 35 14 84 48 1 28,105
11,118 25 55 49 2 90 80 94 109 97 18,43
11,100 24 44 37 106 107 73 81 61 41 21,53
11,37 62 5 53 68 93 80 28 107 100 6,38
11,86 21 18 62 110 73 14 60 107 102 64,41
11,83 7 5 13 7 37 32 70 94 119 29,24
11,103 8 101 75 68 69 41 83 105 109 112,73
11,45 90 19 75 13 39 113 75 82 115 98,96
11,77 117 85 31 31 42 78 89 98 102 45,43
11,55 97 39 72 5 86 82 23 31 104 66,16
11,36 0 91 12 67 29 26 64 114 68 3,32
11,82 72 7 66 51 74 55 115 80 33 15,101
11,90 5 96 18 15 40 36 90 110 81 15,27
11,6 56 60 95 4 86 9 77 92 32 35,26
11,60 38 17 99 38 52 96 91 84 10 50,117
11,92 75 112 114 16 115 89 102 98 86 25,65
11,86 81 64 84 105 115 77 31 8 6 48,29
11,44 0 74 98 64 14 119 117 76 51 15,2
11,18 101 53 92 113 95 69 61 119 20 91,17
11,16 76 39 119 117 27 58 96 102 26 93,46
11,71 86 56 12 112 31 49 112 21 37 81,49
11,14 46 40 0 66 3 102 12 68 79 39,86
11,78 33 88 114 101 17 1 30 26 104 65,3
11,55 14 28 94 1 9 6 99 110 97 7,118
11,95 71 4 52 76 74 8 84 64 97 46,67
11,19 75 23 100 54 26 30 104 23 83 0,76
11,72 1 79 78 64 25 92 97 79 19 78,112
11,54 28 57 119 68 107 81 60 118 13 95,16
11,30 104 91 8 20 83 104 118 39 22 55,53
11,90 50 74 13 54 106 98 40 81 37 55,112
11,83 94 103 29 75 31 69 80 76 0 36,32
11,24 28 110 71 6 77 70 24 65 42 99,95
11,29 93 79 114 53 79 42 108 87 21 29,37
11,107 57 20 4 70 56 100 39 117 73 81,71
11,4 7 115 6 82 115 69 37 68 32 103,95
11,101 27 38 112 28 104 24 100 30 114 87,64
11,76 69 102 54 44 26 38 108 71 69 102,50
11,12 69 86 40 54 22 1 80 75 78 37,87
11,51 85 49 70 68 29 71 60 101 82 26,88
11,69 45 69 38 91 25 81 32 18 101 8,74
11,54 56 52 118 57 75 114 80 81 61 10,0
11,24 38 54 31 17 9 53 32 27 96 82,68
11,54 34 105 4 70 66 95 34 54 105 102,103
11,55 15 32 89 119 81 84 112 115 14 61,111
11,55 88 51 20 111 1 113 48 39 110 117,42
11,21 15 115 54 86 38 84 119 94 41 35,73
11,9 110 93 3 109 44 47 106 38 98 53,15
11,41 26 42 60 8 28 116 101 90 8 37,100
11,17 52 95 53 46 46 67 48 28 116 53,65
11,1 29 103 29 27 20 77 60 83 19 110,93
11,93 72 45 66 82 41 62 5 41 44 13,56
11,6 13 39 89 74 93 117 39 3 72 16,112
11,105 71 44 42 7 56 58 2 7 72 4,113
11,49 91 39 48 40 52 90 2 70 4 112,11
11,80 7 115 112 12 99 119 34 106 29 99,16
11,77 19 10 94 28 66 24 4 52 79 102,37
11,14 63 106 103 109 41 8 115 59 73 80,99
11,118 104 10 55 84 6 76 1 99 40 34,47
11,85 104 51 49 61 54 76 9 10 119 69,91
11,31 16 97 83 39 105 87 77 28 21 64,86
11,66 116 68 66 3 43 64 34 66 86 76,97
11,32 55 87 17 58 110 85 85 36 88 17,86
11,68 28 48 32 104 96 40 114 14 39 41,94
11,26 17 39 25 40 58 9 76 49 17 29,56
11,43 41 33 93 85 62 6 86 72 73 25,30
11,51 116 21 117 30 97 58 68 61 16 72,86
11,61 15 1 28 97 71 42 109 81 75 51,41
11,62 46 73 14 115 8 12 67 95 1 32,75
11,63 23 108 95 114 86 1 76 59 27 47,94
11,99 95 54 8 87 18 17 16 107 42 60,114
11,68 44 102 36 77 117 50 109 0 113 97,107
11,48 71 43 14 84 84 112 102 56 71 47,15
11,90 15 2 116 3 60 115 86 68 103 77,106
11,77 99 94 8 28 115 40 85 111 33 35,70
11,98 35 43 77 8 115 3 104 84 109 63,110
11,64 106 18 105 75 74 54 71 20 109 41,71
11,17 76 14 45 114 48 1 3 97 117 109,12
11,109 79 60 14 34 2 27 117 12 40 24,51
11,104 104 19 25 4 50 31 27 118 68 12,67
11,48 38 97 2 51 61 73 104 71 95 0,85
11,101 47 48 12 66 29 24 54 111 86 37,113
11,0 110 38 45 38 25 8 78 2 61 51,84
11,71 28 101 30 46 112 22 73 85 31 75,35
11,39 105 11 104 69 39 59 91 114 71 88,43
11,15 61 69 47 38 64 67 96 17 14 76,37
11,3 110 103 90 58 55 86 29 2 21 96,93
11,105 46 70 44 6 73 68 83 7 72 114,53
11,85 48 65 13 99 27 48 30 51 41 110,4
11,26 51 45 21 0 83 15 23 71 39 12,70
11,108 45 25 60 36 54 10 111 85 47 2,106
11,80 38 17 22 45 57 63 82 51 78 94,81
11,63 4 46 85 45 78 25 77 112 111 45,26
11,50 108 52 55 17 2 19 38 92 22 39,11
11,84 48 32 22 46 55 90 92 58 104 25,98
11,7 24 23 42 7 11 6 107 74 77 11,119
11,57 115 65 38 31 32 84 9 67 43 49,73
11,107 69 26 72 101 35 4 46 117 72 95,87
11,110 59 31 5 14 37 75 39 99 19 50,106
11,82 76 19 7 34 55 11 47 113 84 10,106
11,10 68 24 59 24 71 117 112 14 61 89,59
11,82 116 85 10 66 46 13 9 119 63 4,78
11,53 93 5 1 17 67 38 4 109 106 108,38
11,19 83 33 101 96 78 23 10 80 9 88,52
11,104 96 66 86 106 44 68 104 21 55 25,74
11,18 76 42 82 54 91 62 21 97 117 16,56
11,98 63 109 64 45 0 37 85 117 75 9,14
