seed,input,target
594200,21 6 13 7,21 27 40 47
594200,53 12 49 59,53 5 54 53
594200,58 58 52 45,58 56 48 33
594200,29 0 59 49,29 29 28 17
594200,51 17 34 18,51 8 42 0
594200,54 51 1 30,54 45 46 16
594200,52 43 7 13,52 35 42 55
594200,36 34 20 35,36 10 30 5
594200,5 57 16 43,5 2 18 1
594200,31 19 21 46,31 50 11 57
594200,47 14 32 42,47 1 33 15
594200,17 15 23 46,17 32 55 41
594200,8 13 52 37,8 21 13 50
594200,26 7 54 50,26 33 27 17
594200,58 54 42 32,58 52 34 6
594200,29 43 1 20,29 12 13 33
594200,50 57 22 18,50 47 9 27
594200,19 1 45 44,19 20 5 49
594200,38 56 21 20,38 34 55 15
594200,29 29 43 5,29 58 41 46
594200,36 13 56 24,36 49 45 9
594200,37 54 3 59,37 31 34 33
594200,47 29 43 35,47 16 59 34
594200,9 7 20 46,9 16 36 22
594200,0 32 47 11,0 32 19 30
594200,50 11 35 57,50 1 36 33
594200,32 36 25 30,32 8 33 3
594200,46 26 8 14,46 12 20 34
594200,21 30 48 4,21 51 39 43
594200,47 36 59 25,47 23 22 47
594200,0 4 28 7,0 4 32 39
594200,57 59 49 29,57 56 45 14
594200,34 20 44 54,34 54 38 32
594200,24 45 27 37,24 9 36 13
594200,2 6 23 23,2 8 31 54
594200,5 21 46 39,5 26 12 51
594200,17 9 9 18,17 26 35 53
594200,41 51 33 4,41 32 5 9
594200,5 28 45 39,5 33 18 57
594200,2 8 54 40,2 10 4 44
594200,21 33 38 37,21 54 32 9
594200,15 24 15 43,15 39 54 37
594200,58 1 1 27,58 59 0 27
594200,47 44 12 24,47 31 43 7
594200,7 55 29 18,7 2 31 49
594200,25 45 14 17,25 10 24 41
594200,43 15 15 45,43 58 13 58
594200,25 2 55 35,25 27 22 57
594200,14 18 40 50,14 32 12 2
594200,33 10 18 47,33 43 1 48
594200,14 44 17 2,14 58 15 17
594200,3 2 5 55,3 5 10 5
594200,30 19 8 25,30 49 57 22
594200,48 50 3 38,48 38 41 19
594200,25 48 21 58,25 13 34 32
594200,25 52 5 18,25 17 22 40
594200,48 8 7 13,48 56 3 16
594200,37 52 9 58,37 29 38 36
594200,45 30 37 43,45 15 52 35
594200,48 29 59 29,48 17 16 45
594200,38 46 41 1,38 24 5 6
594200,16 17 9 57,16 33 42 39
594200,2 13 17 8,2 15 32 40
594200,46 46 45 31,46 32 17 48
594200,58 58 23 57,58 56 19 16
594200,26 43 55 9,26 9 4 13
594200,34 42 40 38,34 16 56 34
594200,4 33 29 10,4 37 6 16
594200,12 22 8 33,12 34 42 15
594200,37 58 34 29,37 35 9 38
594200,54 22 3 27,54 16 19 46
594200,47 37 49 58,47 24 13 11
594200,35 28 30 53,35 3 33 26
594200,27 36 13 3,27 3 16 19
594200,14 41 33 49,14 55 28 17
594200,9 9 36 10,9 18 54 4
594200,26 48 13 7,26 14 27 34
594200,21 13 29 27,21 34 3 30
594200,19 28 44 34,19 47 31 5
594200,35 46 10 20,35 21 31 51
594200,22 43 31 33,22 5 36 9
594200,35 37 56 5,35 12 8 13
594200,5 30 26 9,5 35 1 10
594200,17 49 16 42,17 6 22 4
594200,35 14 7 30,35 49 56 26
594200,16 2 46 10,16 18 4 14
594200,11 47 16 24,11 58 14 38
594200,32 32 39 47,32 4 43 30
594200,32 25 58 14,32 57 55 9
594200,32 30 59 32,32 2 1 33
594200,41 57 16 11,41 38 54 5
594200,50 48 41 40,50 38 19 59
594200,15 37 31 25,15 52 23 48
594200,32 18 17 47,32 50 7 54
594200,20 10 55 55,20 30 25 20
594200,33 2 7 13,33 35 42 55
594200,42 53 8 41,42 35 43 24
594200,47 9 11 54,47 56 7 1
594200,21 39 31 49,21 0 31 20
594200,30 35 49 25,30 5 54 19
594200,1 48 2 40,1 49 51 31
594200,39 26 49 14,39 5 54 8
594200,56 50 0 1,56 46 46 47
594200,27 38 46 42,27 5 51 33
594200,24 43 28 55,24 7 35 30
594200,38 9 21 4,38 47 8 12
594200,37 18 4 46,37 55 59 45
594200,13 40 52 9,13 53 45 54
594200,56 27 27 17,56 23 50 7
594200,28 48 3 26,28 16 19 45
594200,26 38 41 48,26 4 45 33
594200,59 18 29 47,59 17 46 33
594200,41 22 23 27,41 3 26 53
594200,0 8 36 40,0 8 44 24
594200,55 17 37 14,55 12 49 3
594200,29 53 47 41,29 22 9 50
594200,37 28 54 6,37 5 59 5
594200,34 47 44 57,34 21 5 2
594200,36 32 58 46,36 8 6 52
594200,0 39 35 32,0 39 14 46
594200,24 5 20 27,24 29 49 16
594200,9 10 44 52,9 19 3 55
594200,35 41 57 32,35 16 13 45
594200,38 46 58 21,38 24 22 43
594200,23 38 16 5,23 1 17 22
594200,12 19 20 58,12 31 51 49
594200,5 10 52 43,5 15 7 50
594200,57 5 58 25,57 2 0 25
594200,51 53 37 46,51 44 21 7
594200,44 44 17 11,44 28 45 56
594200,38 31 39 59,38 9 48 47
594200,29 16 9 14,29 45 54 8
594200,58 33 15 10,58 31 46 56
594200,30 49 44 19,30 19 3 22
594200,4 24 29 19,4 28 57 16
594200,49 55 42 4,49 44 26 30
594200,51 58 54 8,51 49 43 51
594200,25 30 9 26,25 55 4 30
594200,41 3 21 47,41 44 5 52
594200,28 25 26 54,28 53 19 13
594200,39 50 28 31,39 29 57 28
594200,39 58 20 22,39 37 57 19
594200,32 4 37 40,32 36 13 53
594200,21 45 40 22,21 6 46 8
594200,56 42 10 22,56 38 48 10
594200,7 0 38 44,7 7 45 29
594200,30 46 42 49,30 16 58 47
594200,10 40 5 33,10 50 55 28
594200,23 1 6 19,23 24 30 49
594200,19 32 19 21,19 51 10 31
594200,6 57 48 3,6 3 51 54
594200,45 34 51 35,45 19 10 45
594200,33 29 57 28,33 2 59 27
594200,52 27 55 12,52 19 14 26
594200,2 38 36 53,2 40 16 9
594200,38 13 27 38,38 51 18 56
594200,3 3 1 9,3 6 7 16
594200,18 41 43 48,18 59 42 30
594200,26 21 9 51,26 47 56 47
594200,7 0 7 34,7 7 14 48
594200,58 44 39 7,58 42 21 28
594200,32 41 13 47,32 13 26 13
594200,59 32 7 57,59 31 38 35
594200,14 36 34 58,14 50 24 22
594200,6 29 10 20,6 35 45 5
594200,50 26 48 30,50 16 4 34
594200,49 26 17 6,49 15 32 38
594200,45 50 17 23,45 35 52 15
594200,3 47 10 31,3 50 0 31
594200,9 27 11 22,9 36 47 9
594200,40 10 26 9,40 50 16 25
594200,16 1 31 30,16 17 48 18
594200,16 9 11 41,16 25 36 17
594200,10 51 55 3,10 1 56 59
594200,25 29 20 22,25 54 14 36
594200,36 26 28 52,36 2 30 22
594200,11 59 20 42,11 10 30 12
594200,42 5 11 26,42 47 58 24
594200,26 40 38 2,26 6 44 46
594200,19 10 20 5,19 29 49 54
594200,58 35 17 2,58 33 50 52
594200,2 15 47 21,2 17 4 25
594200,41 4 49 42,41 45 34 16
594200,14 11 21 42,14 25 46 28
594200,34 24 5 58,34 58 3 1
594200,57 25 56 3,57 22 18 21
594200,16 34 23 47,16 50 13 0
594200,54 24 34 49,54 18 52 41
594200,37 45 49 14,37 22 11 25
594200,2 25 35 58,2 27 2 0
594200,30 40 10 30,30 10 20 50
594200,59 41 18 7,59 40 58 5
594200,59 55 39 41,59 54 33 14
594200,58 53 25 42,58 51 16 58
594200,27 40 0 47,27 7 7 54
594200,41 23 58 17,41 4 2 19
594200,24 34 2 20,24 58 0 20
594200,8 1 4 46,8 9 13 59
594200,58 41 51 56,58 39 30 26
594200,36 29 21 50,36 5 26 16
594200,40 15 37 52,40 55 32 24
594200,16 49 50 41,16 5 55 36
594200,39 6 17 46,39 45 2 48
594200,28 26 42 52,28 54 36 28
594200,50 44 7 12,50 34 41 53
594200,18 15 32 57,18 33 5 2
594200,28 57 4 14,28 25 29 43
594200,36 43 29 7,36 19 48 55
594200,27 45 54 49,27 12 6 55
594200,5 16 55 53,5 21 16 9
594200,27 8 24 48,27 35 59 47
594200,10 15 55 35,10 25 20 55
594200,29 37 12 53,29 6 18 11
594200,16 36 42 30,16 52 34 4
594200,3 57 28 28,3 0 28 56
594200,47 41 32 53,47 28 0 53
594200,0 39 36 57,0 39 15 12
594200,19 27 52 27,19 46 38 5
594200,54 24 57 46,54 18 15 1
594200,32 25 10 15,32 57 7 22
594200,40 59 17 46,40 39 56 42
594200,24 37 39 1,24 1 40 41
594200,55 19 21 46,55 14 35 21
594200,4 5 1 12,4 9 10 22
594200,37 33 23 20,37 10 33 53
594200,17 45 32 16,17 2 34 50
594200,28 14 25 53,28 42 7 0
594200,37 37 11 11,37 14 25 36
594200,22 6 38 6,22 28 6 12
594200,21 56 11 4,21 17 28 32
594200,41 41 3 3,41 22 25 28
594200,37 35 15 45,37 12 27 12
594200,22 32 1 23,22 54 55 18
594200,2 27 22 49,2 29 51 40
594200,57 56 5 43,57 53 58 41
594200,40 3 15 59,40 43 58 57
594200,34 35 18 1,34 9 27 28
594200,34 42 19 47,34 16 35 22
594200,2 46 57 13,2 48 45 58
594200,14 6 56 0,14 20 16 16
594200,45 42 57 44,45 27 24 8
594200,24 10 8 31,24 34 42 13
594200,54 9 25 11,54 3 28 39
594200,53 20 24 19,53 13 37 56
594200,45 30 53 55,45 15 8 3
594200,30 1 50 29,30 31 21 50
594200,12 2 12 34,12 14 26 0
594200,27 19 29 39,27 46 15 54
594200,43 35 22 43,43 18 40 23
594200,33 35 27 22,33 8 35 57
594200,13 46 22 22,13 59 21 43
594200,58 19 4 22,58 17 21 43
594200,10 33 22 20,10 43 5 25
594200,1 53 8 43,1 54 2 45
594200,35 48 25 7,35 23 48 55
594200,46 55 10 41,46 41 51 32
594200,11 15 56 31,11 26 22 53
594200,59 4 13 25,59 3 16 41
594200,40 44 56 8,40 24 20 28
594200,0 24 9 29,0 24 33 2
594200,3 16 44 43,3 19 3 46
594200,47 24 13 53,47 11 24 17
594200,1 21 29 39,1 22 51 30
594200,32 23 40 0,32 55 35 35
594200,34 21 18 39,34 55 13 52
594200,35 20 36 3,35 55 31 34
594200,58 19 1 30,58 17 18 48
594200,53 55 18 18,53 48 6 24
594200,38 46 15 29,38 24 39 8
594200,51 35 6 27,51 26 32 59
594200,28 8 6 33,28 36 42 15
594200,19 58 55 16,19 17 12 28
594200,18 22 44 45,18 40 24 9
594200,50 37 48 46,50 27 15 1
594200,9 36 39 26,9 45 24 50
594200,14 55 29 40,14 9 38 18
594200,46 34 54 35,46 20 14 49
594200,49 25 53 25,49 14 7 32
594200,55 24 25 1,55 19 44 45
594200,28 31 38 38,28 59 37 15
594200,55 16 47 6,55 11 58 4
594200,18 17 13 40,18 35 48 28
594200,11 55 56 39,11 6 2 41
594200,36 34 51 34,36 10 1 35
594200,43 27 11 5,43 10 21 26
594200,58 36 3 52,58 34 37 29
594200,46 54 52 24,46 40 32 56
594200,28 24 7 42,28 52 59 41
594200,53 24 44 59,53 17 1 0
594200,19 43 36 58,19 2 38 36
594200,1 51 43 19,1 52 35 54
594200,58 43 59 34,58 41 40 14
594200,49 50 8 49,49 39 47 36
594200,13 26 49 33,13 39 28 1
594200,27 4 34 16,27 31 5 21
594200,31 16 58 37,31 47 45 22
594200,51 11 19 37,51 2 21 58
594200,13 32 42 15,13 45 27 42
594200,33 27 57 49,33 0 57 46
594200,55 37 36 30,55 32 8 38
594200,21 0 47 5,21 21 8 13
594200,11 19 52 41,11 30 22 3
594200,8 40 39 47,8 48 27 14
594200,42 50 0 21,42 32 32 53
594200,40 57 24 0,40 37 1 1
594200,38 12 15 29,38 50 5 34
594200,25 10 49 14,25 35 24 38
594200,55 30 49 40,55 25 14 54
594200,58 37 47 15,58 35 22 37
594200,53 44 5 58,53 37 42 40
594200,48 53 1 57,48 41 42 39
594200,28 34 57 31,28 2 59 30
594200,11 39 59 54,11 50 49 43
594200,48 1 13 17,48 49 2 19
594200,50 0 21 12,50 50 11 23
594200,26 24 35 39,26 50 25 4
594200,4 5 21 50,4 9 30 20
594200,11 26 19 31,11 37 56 27
594200,58 25 37 19,58 23 0 19
594200,21 40 15 8,21 1 16 24
594200,12 40 20 43,12 52 12 55
594200,7 41 21 50,7 48 9 59
594200,53 21 22 29,53 14 36 5
594200,26 12 22 1,26 38 0 1
594200,32 37 45 56,32 9 54 50
594200,39 48 47 20,39 27 14 34
594200,43 32 48 43,43 15 3 46
594200,19 30 14 38,19 49 3 41
594200,45 9 49 4,45 54 43 47
594200,2 45 6 23,2 47 53 16
594200,47 25 28 24,47 12 40 4
594200,37 22 38 2,37 59 37 39
594200,11 15 59 8,11 26 25 33
594200,46 18 7 1,46 4 11 12
594200,22 21 0 24,22 43 43 7
594200,19 32 55 12,19 51 46 58
594200,32 8 56 55,32 40 36 31
594200,49 43 56 2,49 32 28 30
594200,35 47 27 24,35 22 49 13
594200,16 51 7 13,16 7 14 27
594200,16 18 48 1,16 34 22 23
594200,53 38 59 45,53 31 30 15
594200,32 52 24 39,32 24 48 27
594200,43 54 15 16,43 37 52 8
594200,5 45 40 47,5 50 30 17
594200,34 40 50 44,34 14 4 48
594200,41 50 20 6,41 31 51 57
594200,14 30 55 42,14 44 39 21
594200,24 24 13 42,24 48 1 43
594200,33 42 57 44,33 15 12 56
594200,18 41 15 17,18 59 14 31
594200,56 57 47 14,56 53 40 54
594200,39 6 15 55,39 45 0 55
594200,1 54 31 36,1 55 26 2
594200,45 25 45 19,45 10 55 14
594200,17 39 21 1,17 56 17 18
594200,46 3 16 23,46 49 5 28
594200,9 19 30 26,9 28 58 24
594200,4 33 50 58,4 37 27 25
594200,19 18 3 59,19 37 40 39
594200,18 50 20 31,18 8 28 59
594200,9 1 53 13,9 10 3 16
594200,26 19 40 54,26 45 25 19
594200,44 44 36 24,44 28 4 28
594200,32 27 39 41,32 59 38 19
594200,30 29 17 2,30 59 16 18
594200,40 23 41 40,40 3 44 24
594200,54 53 49 56,54 47 36 32
594200,42 43 29 1,42 25 54 55
594200,46 38 36 15,46 24 0 15
594200,31 51 42 38,31 22 4 42
594200,28 23 14 57,28 51 5 2
594200,6 15 10 55,6 21 31 26
594200,57 53 28 23,57 50 18 41
