length,input,target
2,6 28,34
2,14 25,3
2,19 24,7
2,34 33,25
2,5 20,19
2,8 25,33
2,5 32,31
2,35 32,25
2,17 23,34
2,35 33,26
2,12 30,6
2,9 18,27
2,21 16,31
2,2 10,6
2,24 11,35
2,5 5,4
2,29 8,31
2,14 22,30
2,30 4,34
2,25 18,7
2,3 1,4
2,4 27,25
2,7 0,7
2,2 4,0
2,1 8,9
2,14 6,20
2,11 19,24
2,27 3,24
2,10 15,19
2,9 23,26
2,18 25,7
2,30 25,19
2,21 0,21
2,14 26,4
2,18 0,18
2,28 28,14
2,28 26,12
2,15 20,35
2,28 25,17
2,30 34,28
2,4 9,7
2,6 12,18
2,23 34,15
2,23 18,5
2,34 24,22
2,15 33,6
2,4 9,7
2,5 3,2
2,35 11,4
2,5 16,15
2,32 6,2
2,27 14,5
2,32 31,27
2,24 10,34
2,24 32,20
2,35 12,11
2,35 25,18
2,27 4,25
2,27 29,14
2,14 25,3
2,23 11,28
2,22 25,11
2,22 33,13
2,15 28,1
2,32 14,10
2,8 8,16
2,20 15,35
2,18 35,17
2,13 8,21
2,26 14,4
2,2 32,34
2,22 25,11
2,26 10,30
2,20 7,27
2,4 14,12
2,34 27,19
2,29 11,34
2,2 22,18
2,24 33,21
2,4 22,20
2,15 18,33
2,29 13,0
2,21 3,18
2,2 13,15
2,14 0,14
2,6 4,10
2,7 29,30
2,13 17,24
2,35 29,22
2,23 8,25
2,25 1,26
2,2 31,33
2,12 11,23
2,24 22,10
2,14 2,16
2,35 4,33
2,12 21,33
2,10 28,32
2,13 32,9
2,19 18,1
2,23 5,22
2,0 4,4
2,3 27,24
2,23 6,29
2,8 2,10
2,29 23,10
2,23 34,15
2,22 26,6
2,27 4,25
2,0 4,4
2,20 2,22
2,14 12,26
2,16 26,0
2,24 0,24
2,35 11,4
2,22 12,34
2,25 28,17
2,9 11,14
2,2 18,20
2,1 12,13
2,24 8,32
2,7 17,18
2,3 3,0
2,15 4,13
2,30 22,16
2,6 14,20
2,17 8,19
2,2 34,30
2,27 8,35
2,31 32,27
2,32 33,29
2,27 9,30
2,21 29,8
2,7 14,21
2,13 35,6
2,11 0,11
2,27 6,33
2,23 7,24
2,1 35,30
2,10 12,22
2,30 29,23
2,31 32,27
2,3 6,9
2,1 2,3
2,7 7,14
2,24 5,29
2,21 0,21
2,30 28,22
2,15 16,25
2,23 35,16
2,31 23,12
2,32 28,18
2,0 15,15
2,19 13,32
2,9 30,3
2,12 12,24
2,28 15,1
2,2 28,24
2,0 33,33
2,9 34,1
2,22 22,2
2,11 18,29
2,33 1,34
2,7 16,23
2,2 23,19
2,16 19,35
2,22 11,27
2,12 28,4
2,8 11,13
2,14 11,19
2,27 1,28
2,26 24,14
2,12 24,0
2,6 29,35
2,29 18,11
2,0 9,9
2,4 8,6
2,29 25,12
2,33 3,30
2,1 31,32
2,18 20,2
2,21 30,15
2,7 19,26
2,0 17,17
2,20 25,9
2,15 8,23
2,27 12,3
2,5 6,11
2,13 33,10
2,23 22,3
2,9 13,22
2,9 20,29
2,17 15,26
2,19 0,19
2,25 20,9
2,24 22,10
2,25 13,2
2,32 32,28
2,14 25,3
2,18 28,10
2,25 8,33
2,26 10,30
2,2 11,7
2,4 21,19
2,25 12,1
2,17 31,6
2,22 11,27
2,12 15,27
2,6 8,14
2,23 32,13
2,22 8,24
2,12 24,0
2,19 22,5
2,0 0,0
2,34 32,24
2,22 2,18
2,11 0,11
2,9 12,21
2,17 3,14
2,31 16,11
2,24 15,3
2,8 3,11
2,35 26,19
2,30 17,11
2,18 0,18
2,11 0,11
2,8 19,27
2,23 8,25
2,7 30,1
2,17 34,9
2,1 16,17
2,35 22,15
2,12 5,17
2,35 25,18
2,9 19,28
2,21 9,24
2,18 10,28
2,16 27,1
2,1 3,4
2,0 24,24
2,24 22,10
2,15 19,34
2,25 11,30
2,32 11,1
2,2 5,1
2,18 22,4
2,21 7,28
2,19 1,20
2,6 27,33
2,21 0,21
2,34 19,17
2,14 0,14
2,27 35,20
2,35 6,5
2,20 24,8
2,1 20,21
2,17 3,14
2,14 32,10
2,8 13,21
2,23 8,25
2,26 31,21
2,17 23,34
2,24 0,24
2,9 15,18
2,35 25,18
2,6 25,31
2,34 6,4
2,7 5,6
2,28 3,25
2,34 1,35
2,9 30,3
2,1 14,15
2,4 30,34
2,22 4,20
2,23 16,33
2,29 5,28
2,23 26,7
2,16 35,9
2,9 15,18
2,4 31,35
2,4 6,10
2,15 13,28
2,8 0,8
2,8 9,17
2,9 30,3
2,30 33,27
2,24 28,16
2,14 32,10
2,15 8,23
2,10 1,11
2,25 5,24
2,24 18,6
2,35 0,35
2,6 29,35
2,20 8,28
2,6 8,14
2,0 27,27
2,10 23,27
2,11 2,7
2,8 32,4
2,8 2,10
2,27 26,17
2,3 24,27
2,28 28,14
2,10 24,34
2,34 28,20
2,15 24,3
2,25 7,32
