"Step","Group: pythia-1b - eval_n@0.05","Group: pythia-1b - eval_n@0.05__MIN","Group: pythia-1b - eval_n@0.05__MAX","Group: pythia-410m - eval_n@0.05","Group: pythia-410m - eval_n@0.05__MIN","Group: pythia-410m - eval_n@0.05__MAX","Group: pythia-160m - eval_n@0.05","Group: pythia-160m - eval_n@0.05__MIN","Group: pythia-160m - eval_n@0.05__MAX","Group: sfirah-d15 - eval_n@0.05","Group: sfirah-d15 - eval_n@0.05__MIN","Group: sfirah-d15 - eval_n@0.05__MAX","Group: pythia-1.4b - eval_n@0.05","Group: pythia-1.4b - eval_n@0.05__MIN","Group: pythia-1.4b - eval_n@0.05__MAX","Group: sfirah-d9 - eval_n@0.05","Group: sfirah-d9 - eval_n@0.05__MIN","Group: sfirah-d9 - eval_n@0.05__MAX","Group: sfirah-d24 - eval_n@0.05","Group: sfirah-d24 - eval_n@0.05__MIN","Group: sfirah-d24 - eval_n@0.05__MAX","Group: sfirah-d21 - eval_n@0.05","Group: sfirah-d21 - eval_n@0.05__MIN","Group: sfirah-d21 - eval_n@0.05__MAX","Group: pythia-70m - eval_n@0.05","Group: pythia-70m - eval_n@0.05__MIN","Group: pythia-70m - eval_n@0.05__MAX","Group: sfirah-w1024 - eval_n@0.05","Group: sfirah-w1024 - eval_n@0.05__MIN","Group: sfirah-w1024 - eval_n@0.05__MAX","Group: sfirah-w512 - eval_n@0.05","Group: sfirah-w512 - eval_n@0.05__MIN","Group: sfirah-w512 - eval_n@0.05__MAX","Group: sfirah-w256 - eval_n@0.05","Group: sfirah-w256 - eval_n@0.05__MIN","Group: sfirah-w256 - eval_n@0.05__MAX","Group: sfirah-w128 - eval_n@0.05","Group: sfirah-w128 - eval_n@0.05__MIN","Group: sfirah-w128 - eval_n@0.05__MAX","Group: sfirah-d18 - eval_n@0.05","Group: sfirah-d18 - eval_n@0.05__MIN","Group: sfirah-d18 - eval_n@0.05__MAX","Group: sfirah-d12 - eval_n@0.05","Group: sfirah-d12 - eval_n@0.05__MIN","Group: sfirah-d12 - eval_n@0.05__MAX","Group: sfirah-d6 - eval_n@0.05","Group: sfirah-d6 - eval_n@0.05__MIN","Group: sfirah-d6 - eval_n@0.05__MAX","Group: pythia-31m - eval_n@0.05","Group: pythia-31m - eval_n@0.05__MIN","Group: pythia-31m - eval_n@0.05__MAX","Group: pythia-14m - eval_n@0.05","Group: pythia-14m - eval_n@0.05__MIN","Group: pythia-14m - eval_n@0.05__MAX"
"1015","2.6666666666666665","2","3","3","3","3","2","2","2","","","","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1029","","","","","","","","","","1","1","1","","","","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1057","","","","","","","1","1","1","","","","","","","","","","1","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2015","4","4","4","4","4","4","2.6666666666666665","2","3","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2029","","","","","","","","","","1.6666666666666667","1","2","","","","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2057","","","","","","","2","2","2","","","","","","","","","","1","1","1","","","","1.2","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"3015","4","4","4","4","4","4","3.3333333333333335","3","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3029","","","","","","","","","","2","2","2","","","","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3057","","","","","","","2.6","2","3","","","","","","","","","","1","1","1","","","","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","2","2","2","1","1","1"
"4015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4029","","","","","","","","","","2","2","2","","","","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4057","","","","","","","2.6","2","3","","","","","","","","","","2","2","2","","","","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1.8","1","2"
"5015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5029","","","","","","","","","","2","2","2","","","","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5057","","","","","","","3","3","3","","","","","","","","","","2","2","2","","","","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1.8","1","2"
